,score,O080,R101,R105,R106
2012-05-23,,0.8296703296703296,,,
2012-05-24,,0.8575342465753425,,,
2012-05-25,,0.8442622950819672,,,
2012-05-26,,0.8038147138964578,,,
2012-05-27,,0.7744565217391304,,,
2012-05-28,,0.7371273712737128,,,
2012-05-29,,0.6675675675675676,,,
2012-05-30,,0.7088948787061995,,,
2012-05-31,,0.7311827956989247,,,
2012-06-01,,0.7184986595174263,,,
2012-06-02,,0.5695187165775402,,,
2012-06-03,,0.704,,,
2012-06-04,,0.6808510638297872,,,
2012-06-05,,0.6923076923076923,,,
2012-06-06,,0.8624338624338624,,,
2012-06-07,,0.8364116094986808,,,
2012-06-08,,0.7236842105263157,,,
2012-06-09,,0.7427821522309711,,,
2012-06-10,,0.756544502617801,,,
2012-06-11,,0.639686684073107,,,
2012-06-12,,0.6953125,,,
2012-06-13,,0.5480519480519481,,,
2012-06-14,,0.616580310880829,,,
2012-06-15,,0.5400516795865633,,,
2012-06-16,,0.5206185567010309,,,
2012-06-17,,0.5552699228791773,,,
2012-06-18,,0.4461538461538461,,,
2012-06-19,,0.48849104859335035,,,
2012-06-20,,0.44897959183673475,,,
2012-06-21,,0.36895674300254455,,,
2012-06-22,,0.2868020304568528,,,
2012-06-23,,0.260759493670886,,,
2012-06-24,,0.2752525252525253,,,
2012-06-25,,0.3123425692695214,,,
2012-06-26,,0.2864321608040201,,,
2012-06-27,,0.48621553884711777,,,
2012-06-28,,0.395,,,
2012-06-29,,0.22443890274314215,,,
2012-06-30,,0.29850746268656714,,,
2012-07-01,,0.3399503722084367,,,
2012-07-02,,0.6584158415841583,,,
2012-07-03,,0.5185185185185186,,,
2012-07-04,,0.6576354679802956,,,
2012-07-05,,0.5184275184275184,,,
2012-07-06,,0.4019607843137255,,,
2012-07-07,,0.5036674816625917,,,
2012-07-08,,0.6780487804878048,,,
2012-07-09,,0.6861313868613139,,,
2012-07-10,,0.7451456310679612,,,
2012-07-11,,0.665859564164649,,,
2012-07-12,,0.4444444444444444,,,
2012-07-13,,0.6771084337349398,,,
2012-07-14,,0.6442307692307692,,,
2012-07-15,,0.5995203836930456,,,
2012-07-16,,0.6411483253588517,,,
2012-07-17,,0.6682577565632458,,,
2012-07-18,,0.6761904761904762,,,
2012-07-19,,0.6437054631828978,,,
2012-07-20,,0.6018957345971564,,,
2012-07-21,,0.6619385342789599,,,
2012-07-22,,0.7004716981132075,,,
2012-07-23,,0.6211764705882352,,,
2012-07-24,,0.7018779342723005,,,
2012-07-25,,0.6791569086651054,,,
2012-07-26,,0.7266355140186915,,,
2012-07-27,,0.6806526806526807,,,
2012-07-28,,0.7372093023255815,,,
2012-07-29,,0.7517401392111369,,,
2012-07-30,,0.6967592592592593,,,
2012-07-31,,0.7852193995381063,,,
2012-08-01,,0.8064516129032258,,,
2012-08-02,,0.7379310344827585,,,
2012-08-03,,0.6651376146788991,,,
2012-08-04,,0.6933638443935927,,,
2012-08-05,,0.6598173515981736,,,
2012-08-06,,0.6537585421412301,,,
2012-08-07,,0.6522727272727273,,,
2012-08-08,,0.6848072562358276,,,
2012-08-09,,0.6153846153846154,,,
2012-08-10,,0.5981941309255079,,,
2012-08-11,,0.6891891891891893,,,
2012-08-12,,0.6808988764044943,,,
2012-08-13,,0.7040358744394619,,,
2012-08-14,,0.7024608501118568,,,
2012-08-15,,0.6919642857142857,,,
2012-08-16,,0.6636971046770601,,,
2012-08-17,,0.6622222222222223,,,
2012-08-18,,0.6119733924611974,,,
2012-08-19,,0.6592920353982301,,,
2012-08-20,,0.5894039735099338,,,
2012-08-21,,0.6145374449339207,,,
2012-08-22,,0.701098901098901,,,
2012-08-23,,0.6008771929824561,,,
2012-08-24,,0.6017505470459519,,,
2012-08-25,,0.554585152838428,,,
2012-08-26,,0.542483660130719,,,
2012-08-27,,0.5043478260869565,,,
2012-08-28,,0.527114967462039,,,
2012-08-29,,0.5692640692640693,,,
2012-08-30,,0.4600431965442765,,,
2012-08-31,,0.31896551724137934,,,
2012-09-01,,0.3311827956989247,,,
2012-09-02,,0.3948497854077253,,,
2012-09-03,,0.40685224839400425,,,
2012-09-04,,0.4551282051282052,,,
2012-09-05,,0.4690831556503199,,,
2012-09-06,,0.451063829787234,,,
2012-09-07,,0.386411889596603,,,
2012-09-08,,0.4597457627118644,,,
2012-09-09,,0.5031712473572938,,,
2012-09-10,,0.4852320675105485,,,
2012-09-11,,0.4905263157894737,,,
2012-09-12,,0.5147058823529411,,,
2012-09-13,,0.5345911949685535,,,
2012-09-14,,0.5774058577405858,,,
2012-09-15,,0.5845511482254697,,,
2012-09-16,,0.5958333333333333,,,
2012-09-17,,0.7089397089397089,,,
2012-09-18,,0.6825726141078838,,,
2012-09-19,,0.7225672877846792,,,
2012-09-20,,0.6425619834710744,,,
2012-09-21,,0.6639175257731958,,,
2012-09-22,,0.7304526748971194,,,
2012-09-23,,0.7248459958932238,,,
2012-09-24,,0.7336065573770492,,,
2012-09-25,,0.7402862985685071,,,
2012-09-26,,0.7326530612244898,,,
2012-09-27,,0.7535641547861507,,,
2012-09-28,,0.7317073170731707,,,
2012-09-29,,0.7139959432048681,,,
2012-09-30,,0.7489878542510122,,,
2012-10-01,,0.7515151515151515,,,
2012-10-02,,0.7600806451612903,,,
2012-10-03,,0.7484909456740443,,,
2012-10-04,,0.7590361445783133,,,
2012-10-05,,0.6773547094188377,,,
2012-10-06,,0.6579999999999999,,,
2012-10-07,,0.7025948103792415,,,
2012-10-08,,0.6155378486055777,,,
2012-10-09,,0.6679920477137177,,,
2012-10-10,,0.6607142857142857,,,
2012-10-11,,0.6396039603960396,,,
2012-10-12,,0.6284584980237153,,,
2012-10-13,,0.6627218934911243,,,
2012-10-14,,0.6732283464566929,,,
2012-10-15,,0.6581532416502947,,,
2012-10-16,,0.6450980392156862,,,
2012-10-17,,0.6477495107632094,,,
2012-10-18,,0.7578125,,,
2012-10-19,,0.7134502923976609,,,
2012-10-20,,0.7626459143968871,,,
2012-10-21,,0.741747572815534,,,
2012-10-22,,0.6744186046511628,,,
2012-10-23,,0.6982591876208897,,,
2012-10-24,,0.6505791505791505,,,
2012-10-25,,0.6628131021194605,,,
2012-10-26,,0.6673076923076924,,,
2012-10-27,,0.6621880998080614,,,
2012-10-28,,0.657088122605364,,,
2012-10-29,,0.7151051625239006,,,
2012-10-30,,0.7366412213740459,,,
2012-10-31,,0.7714285714285715,,,
2012-11-01,,0.7300380228136882,,,
2012-11-02,,0.7571157495256167,,,
2012-11-03,,0.7386363636363636,,,
2012-11-04,,0.8090737240075614,,,
2012-11-05,,0.8169811320754717,,,
2012-11-06,,0.7796610169491526,,,
2012-11-07,,0.8270676691729324,,,
2012-11-08,,0.7692307692307692,,,
2012-11-09,,0.8108614232209738,,,
2012-11-10,,0.8149532710280374,,,
2012-11-11,,0.8208955223880597,,,
2012-11-12,,0.8212290502793296,,,
2012-11-13,,0.8178438661710037,,,
2012-11-14,,0.8274582560296846,,,
2012-11-15,,0.8240740740740741,,,
2012-11-16,,0.833641404805915,,,
2012-11-17,,0.7435424354243543,,,
2012-11-18,,0.7550644567219152,,,
2012-11-19,,0.7261029411764706,,,
2012-11-20,,0.7357798165137615,,,
2012-11-21,,0.7234432234432234,,,
2012-11-22,,0.7221206581352834,,,
2012-11-23,,0.7171532846715328,,,
2012-11-24,,0.7231329690346084,,,
2012-11-25,,0.7109090909090909,,,
2012-11-26,,0.7005444646098004,,,
2012-11-27,,0.7681159420289855,,,
2012-11-28,,0.6763110307414104,,,
2012-11-29,,0.6931407942238268,,,
2012-11-30,,0.6666666666666667,,,
2012-12-01,,0.7302158273381295,,,
2012-12-02,,0.6947935368043088,,,
2012-12-03,,0.6756272401433692,,,
2012-12-04,,0.6762075134168157,,,
2012-12-05,,0.7482142857142857,,,
2012-12-06,,0.8110516934046346,,,
2012-12-07,,0.7793594306049823,,,
2012-12-08,,0.8046181172291297,,,
2012-12-09,,0.7322695035460993,,,
2012-12-10,,0.7557522123893805,,,
2012-12-11,,0.7491166077738516,,,
2012-12-12,,0.6649029982363316,,,
2012-12-13,,0.7007042253521127,,,
2012-12-14,,0.6502636203866432,,,
2012-12-15,,0.6894736842105262,,,
2012-12-16,,0.6409807355516637,,,
2012-12-17,,0.7255244755244755,,,
2012-12-18,,0.75043630017452,,,
2012-12-19,,0.7630662020905923,,,
2012-12-20,,0.8208695652173913,,,
2012-12-21,,0.8177083333333334,,,
2012-12-22,,0.8110918544194108,,,
2012-12-23,,0.8356401384083045,,,
2012-12-24,,0.8151986183074266,,,
2012-12-25,,0.7879310344827586,,,
2012-12-26,,0.7831325301204819,,,
2012-12-27,,0.7457044673539519,,,
2012-12-28,,0.7461406518010292,,,
2012-12-29,,0.7705479452054794,,,
2012-12-30,,0.7350427350427351,,,
2012-12-31,,0.6757679180887373,,,
2013-01-01,,0.626916524701874,,,
2013-01-02,,0.6836734693877551,,,
2013-01-03,,0.7147707979626485,,,
2013-01-04,,0.6508474576271186,,,
