,score,N005,M018,M096t,M068
2019-01-23,,,0.706043956043956,,
2019-01-24,,,0.4164383561643835,,
2019-01-25,,,0.4180327868852459,,
2019-01-26,,,0.4223433242506812,,
2019-01-27,,,0.47010869565217395,,
2019-01-28,,,0.7994579945799458,,
2019-01-29,,,0.7864864864864864,,
2019-01-30,,,0.5849056603773585,,
2019-01-31,0.7851087084958053,,0.6801075268817205,0.8901098901098901,
2019-02-01,0.6361489588306585,,0.5764075067024128,0.6958904109589041,
2019-02-02,0.5785701762075919,,0.43582887700534756,0.7213114754098361,
2019-02-03,0.6794441416893733,,0.536,0.8228882833787465,
2019-02-04,0.5311343663274746,,0.5106382978723405,0.5516304347826086,
2019-02-05,0.6208118579859538,,0.480106100795756,0.7615176151761518,
2019-02-06,0.8606249106249106,,0.7671957671957672,0.9540540540540541,
2019-02-07,0.8309745464372835,,0.8021108179419525,0.8598382749326146,
2019-02-08,0.23866723259762307,,0.17894736842105263,0.2983870967741935,
2019-02-09,0.16849619668855065,,0.1627296587926509,0.1742627345844504,
2019-02-10,0.17114399305652772,,0.12303664921465973,0.2192513368983957,
2019-02-11,0.17366057441253263,,0.21932114882506526,0.128,
2019-02-12,0.2501662234042553,,0.234375,0.26595744680851063,
2019-02-13,0.3505218919012023,0.6648351648351649,0.2753246753246753,0.1114058355437666,
2019-02-14,0.3815297260561888,0.7095890410958905,0.3212435233160622,0.11375661375661372,
2019-02-15,0.3877558342394976,0.7103825136612022,0.2945736434108527,0.158311345646438,
2019-02-16,0.34998947831670807,0.6239782016348774,0.26546391752577314,0.16052631578947374,
2019-02-17,0.31679924970818235,0.5,0.17480719794344468,0.2755905511811023,
2019-02-18,0.03719518561812011,0.06233062330623307,0.023076923076923106,0.02617801047120416,
2019-02-19,0.05614933010110401,0.03513513513513511,0.11764705882352944,0.015665796344647487,
2019-02-20,0.031280751294228394,0.021563342318059342,0.030612244897959218,0.04166666666666663,
2019-02-21,0.06119047441381842,0.037634408602150504,0.10178117048346058,0.04415584415584417,
2019-02-22,0.05952610874301889,0.05093833780160861,0.09137055837563457,0.03626943005181349,
2019-02-23,0.07341721427333299,0.13101604278074863,0.0582278481012658,0.03100775193798455,
2019-02-24,0.49577597278628205,0.8533333333333333,0.6262626262626263,0.0077319587628865705,
