,score,y,year
2014-01-01,0.3249561635827229,0.06537641442784982,2014
2014-01-02,0.3243587896828539,0.03537483027216154,2014
2014-01-03,0.3072839862152693,0.008963332511574136,2014
2014-01-04,0.2968196976938708,-0.026419537307609757,2014
2014-01-05,0.30198504026105344,-0.12044519426734121,2014
2014-01-06,0.3265153119530779,-0.1533206464377229,2014
2014-01-07,0.3352317396595432,-0.050788725929514965,2014
2014-01-08,0.36869816187433474,-0.14266987544455126,2014
2014-01-09,0.3956496043606118,-0.2043539468076716,2014
2014-01-10,0.41565074669687607,-0.2161846711957421,2014
2014-01-11,0.4312673494599249,-0.2606357818957194,2014
2014-01-12,0.4621871132162926,-0.229453969326458,2014
2014-01-13,0.472544648695962,-0.23005759696120912,2014
2014-01-14,0.48367372581005563,-0.2853164614302899,2014
2014-01-15,0.47529479209622555,-0.22923047997349658,2014
2014-01-16,0.468423136451101,-0.22055266835403498,2014
2014-01-17,0.45310975212232796,-0.24065996141277754,2014
2014-01-18,0.4701754711397629,-0.248930977445385,2014
2014-01-19,0.48038768887301375,-0.29014939816138846,2014
2014-01-20,0.497678305775033,-0.28466854880872106,2014
2014-01-21,0.4965675759275282,-0.37930577312265257,2014
2014-01-22,0.49349624894185995,-0.34446813837332757,2014
2014-01-23,0.5009800714900906,-0.2894382995347742,2014
2014-01-24,0.4991618197338849,-0.24703567861187808,2014
2014-01-25,0.4685909439309457,-0.3943428307124931,2014
2014-01-26,0.5059756017937882,-0.42272546181745074,2014
2014-01-27,0.5294344513696436,-0.23428404159724156,2014
2014-01-28,0.5534237730542036,-0.29997121625407,2014
2014-01-29,0.5935802758492634,-0.3640382376254204,2014
2014-01-30,0.5728441284285307,-0.34265353730517945,2014
2014-01-31,0.588887900541586,-0.36334633185012827,2014
2014-02-01,0.5716273300998866,-0.1840601995747382,2014
2014-02-02,0.5885789866360109,-0.1885746430992781,2014
2014-02-03,0.5833628442257289,-0.18553714916636868,2014
2014-02-04,0.5288844804943371,-0.18085132086236677,2014
2014-02-05,0.5350287844596033,-0.21648716672733156,2014
2014-02-06,0.5211323040760247,-0.20582928376831375,2014
2014-02-07,0.5669782036147499,-0.10510330388345744,2014
2014-02-08,0.5922821246660648,-0.07589762808341162,2014
2014-02-09,0.5967096973786099,-0.0812961195331716,2014
2014-02-10,0.61408426216379,-0.07701783579955465,2014
2014-02-11,0.6418514251150221,-0.043292554964788156,2014
2014-02-12,0.677015650598659,-0.039717723012161976,2014
2014-02-13,0.6910839340717703,0.03731045799995816,2014
2014-02-14,0.6961483601182288,-0.05315269587241292,2014
2014-02-15,0.7076311427369779,-0.049522183103477634,2014
2014-02-16,0.7204484382112984,-0.01444934383134622,2014
2014-02-17,0.7112717438358481,-0.033539340868920776,2014
2014-02-18,0.7170729141133896,-0.06702377284927355,2014
2014-02-19,0.7135976701807843,-0.09031285283537872,2014
2014-02-20,0.6983970796972534,0.001650849348437397,2014
2014-02-21,0.7013520914013671,-0.03751123497041338,2014
2014-02-22,0.6974210514503374,-0.037082505813832795,2014
2014-02-23,0.6920967781167887,-0.044084798464368774,2014
2014-02-24,0.6996941065709656,0.0659656907508779,2014
2014-02-25,0.6940299604671887,-0.09949204006961285,2014
2014-02-26,0.7155418313697125,-0.16408283856006575,2014
2014-02-27,0.7000448470963317,-0.17886575900780255,2014
2014-02-28,0.6984477806528605,-0.18329279095110693,2014
2014-03-01,0.6963281635565325,-0.22022296224843332,2014
2014-03-02,0.6785663006801244,-0.15358595592745272,2014
2014-03-03,0.6751823635130064,-0.43241533014921607,2014
2014-03-04,0.62204193716237,-0.40598365059947805,2014
2014-03-05,0.6357207757365001,-0.3991584552194183,2014
2014-03-06,0.6379584842803055,-0.36899629356083175,2014
2014-03-07,0.640007719820705,-0.32027449739584357,2014
2014-03-08,0.6379646505025305,-0.3259198793569987,2014
2014-03-09,0.6156615440844101,-0.3469149115962487,2014
2014-03-10,0.574854464573406,-0.34957698670379783,2014
2014-03-11,0.5260264785595352,-0.5465073805328278,2014
2014-03-12,0.4994449163285758,-0.408197175697744,2014
2014-03-13,0.5001140783416709,-0.4164365319626839,2014
2014-03-14,0.4781419768564238,-0.4114755844322528,2014
2014-03-15,0.45544387963335425,-0.3219094700152486,2014
2014-03-16,0.4580669009760099,-0.1953849820253643,2014
2014-03-17,0.4583656203731511,-0.15849250444792173,2014
2014-03-18,0.47946115429507363,-0.20621574641507798,2014
2014-03-19,0.4926055747845286,-0.23423855601056975,2014
2014-03-20,0.47500070504226793,-0.1510547128000082,2014
2014-03-21,0.47248502771431744,-0.12738265610416083,2014
2014-03-22,0.46217681292612856,-0.1255248617863002,2014
2014-03-23,0.46359132438671163,-0.13268424517939797,2014
2014-03-24,0.46747593238814833,-0.17595526293542657,2014
2014-03-25,0.4696427271481892,-0.14833898333463033,2014
2014-03-26,0.4791879983226142,-0.21662379979221577,2014
2014-03-27,0.4786637852351502,-0.05081215734229211,2014
2014-03-28,0.44856627247259073,-0.12809001364749623,2014
2014-03-29,0.4523616602591236,-0.10313294494883725,2014
2014-03-30,0.4505247835173643,-0.024831301736880224,2014
2014-03-31,0.4560409355661674,-0.014332065495133646,2014
2014-04-01,0.46031215246437673,-0.04006861428710666,2014
2014-04-02,0.47757294325524063,0.02968693376804258,2014
2014-04-03,0.5123800367167828,-0.023554288061967556,2014
2014-04-04,0.5129641336512532,-0.029434753004522484,2014
2014-04-05,0.5103284960705077,-0.06565379449055175,2014
2014-04-06,0.5075497112485985,-0.06416805741423552,2014
2014-04-07,0.48886850835953216,-0.014531287986365328,2014
2014-04-08,0.4570809744240398,-0.02776769247980448,2014
2014-04-09,0.451918350651609,0.02202125523298334,2014
2014-04-10,0.47672398843945885,0.2190273226840724,2014
2014-04-11,0.4701073796142195,0.03988865919772388,2014
2014-04-12,0.46713849997001944,0.039301785943272396,2014
2014-04-13,0.4710762685798214,0.0529567211475376,2014
2014-04-14,0.49597689068115686,-0.035899710397153284,2014
2014-04-15,0.5404423982321707,-0.15445774968356799,2014
2014-04-16,0.5778601543410804,-0.16922058753046224,2014
2014-04-17,0.6069833903145815,-0.10676530708682827,2014
2014-04-18,0.6131207861097694,-0.0775830737625177,2014
2014-04-19,0.6124124185319026,-0.11983748773693974,2014
2014-04-20,0.6258905600824048,-0.02262747487466627,2014
2014-04-21,0.6042725549828674,-0.008368926004599313,2014
2014-04-22,0.5677188301835349,0.0734564599741629,2014
2014-04-23,0.54883851034296,0.06522137538341756,2014
2014-04-24,0.5049773779285904,0.04734122264558173,2014
2014-04-25,0.4839084499852799,0.20633112442106952,2014
2014-04-26,0.497909801109671,0.24180793214407806,2014
2014-04-27,0.4705752349015039,0.2686672698567442,2014
2014-04-28,0.47133100995125404,0.2713431057985067,2014
2014-04-29,0.4860256289716299,0.24210345256237464,2014
2014-04-30,0.4805121667620636,0.32433759833369963,2014
2014-05-01,0.48333789430433355,0.31071919014620464,2014
2014-05-02,0.48308681286235383,0.33162626080270313,2014
2014-05-03,0.47209251693527465,0.41308684306915106,2014
2014-05-04,0.4802672396177553,0.43164527764901167,2014
2014-05-05,0.4798945383809795,0.398315713785713,2014
2014-05-06,0.4591349251244935,0.4304320461274799,2014
2014-05-07,0.4513362087895773,0.38545389990820617,2014
2014-05-08,0.46814776638132993,0.39969029390187155,2014
2014-05-09,0.47956929911677976,0.37370606358209474,2014
