,ret,expo,turnover,strat
2014-01-01,0.038799841038548166,0.12096774193548387,0.12096774193548387,0.004512077544985666
2014-01-02,0.032147821318812886,0.12096774193548387,0.0,0.003888849353082204
2014-01-03,0.02395601680256987,0.12096774193548387,0.0,0.0028979052583753876
2014-01-04,0.09195332955272151,0.12096774193548387,0.0,0.011123386639442118
2014-01-05,0.015734806629834175,0.12096774193548387,0.0,0.0019034040278025212
2014-01-06,-0.14603367999651884,0.12096774193548387,0.0,-0.017665364515707924
2014-01-07,0.04898089171974518,0.12096774193548387,0.0,0.005925107869324014
2014-01-08,0.0015908676908129582,0.14971428571428572,0.028746543778801842,0.0001950558043277944
2014-01-09,0.033767399000921516,0.14971428571428572,0.0,0.00505546202185225
2014-01-10,0.0515827869717691,0.14971428571428572,0.0,0.007722680106630574
2014-01-11,-0.05859980593136227,0.14971428571428572,0.0,-0.008773228088009666
2014-01-12,-0.02493928084829089,0.14971428571428572,0.0,-0.0037337666184298363
2014-01-13,-0.008517618469015775,0.14971428571428572,0.0,-0.0012752091650755047
2014-01-14,0.030821456145295967,0.14971428571428572,0.0,0.004614412291467167
2014-01-15,-0.03179018950471979,0.2789115646258503,0.1291972789115646,-0.009060447412881029
2014-01-16,-0.02111984282907653,0.2789115646258503,0.0,-0.00589056840810978
2014-01-17,0.016056196688409408,0.2789115646258503,0.0,0.004478258940304665
2014-01-18,0.039592592592592624,0.2789115646258503,0.0,0.01104283194759386
2014-01-19,-0.019060173144750503,0.2789115646258503,0.0,-0.0053161027138419765
2014-01-20,-0.0013680056172974409,0.2789115646258503,0.0,-0.0003815525871373814
2014-01-21,-0.006897889415558356,0.2789115646258503,0.0,-0.0019239011295094732
2014-01-22,-0.0087890625,0.3138357705286839,0.03492420590283357,-0.0028107085107665114
2014-01-23,-0.039408866995073843,0.3138357705286839,0.0,-0.012367912139061419
2014-01-24,0.03435897435897428,0.3138357705286839,0.0,0.010783075192523986
2014-01-25,0.009853743182945074,0.3138357705286839,0.0,0.0030924570844113332
2014-01-26,-0.07707885854556606,0.3138357705286839,0.0,-0.024190102963119155
2014-01-27,0.04794201742137094,0.3138357705286839,0.0,0.015045919978135536
2014-01-28,0.007880710659898593,0.3138357705286839,0.0,0.002473248902262888
2014-01-29,0.007277672152201431,0.5647321428571429,0.250896372328459,0.003733590831031781
2014-01-30,0.0037625470318378706,0.5647321428571429,0.0,0.0021248312478905833
2014-01-31,0.012739726027397369,0.5647321428571429,0.0,0.007194532778865032
2014-02-01,0.0021642093872582535,0.5647321428571429,0.0,0.0012221986048578978
2014-02-02,-0.007963287893102966,0.5647321428571429,0.0,-0.0044971246360603805
2014-02-03,-0.006815089672232544,0.5647321428571429,0.0,-0.003848700194363468
2014-02-04,-0.025728838466232418,0.5647321428571429,0.0,-0.014529902080260719
2014-02-05,-0.023442792683394553,0.39756367663344405,0.16716846622369885,-0.009570755549101488
2014-02-06,-0.07719996335030566,0.39756367663344405,0.0,-0.03069190126551465
2014-02-07,-0.03477964851562387,0.39756367663344405,0.0,-0.013827124935890332
2014-02-08,0.01011036165116308,0.39756367663344405,0.0,0.004019512550130173
2014-02-09,0.0006401210410695857,0.39756367663344405,0.0,0.0002544888745780523
2014-02-10,-0.0184789404050536,0.39756367663344405,0.0,-0.007346555487723413
2014-02-11,-0.03423196563472075,0.39756367663344405,0.0,-0.01360938611612929
2014-02-12,-0.07343670915198086,0.8549450549450549,0.45738137831161085,-0.06347042340839171
2014-02-13,0.10741421264339279,0.8549450549450549,0.0,0.09183324993028526
2014-02-14,-0.019686098654708495,0.8549450549450549,0.0,-0.016830532696003524
2014-02-15,-0.05310827501029236,0.8549450549450549,0.0,-0.04540465709671149
2014-02-16,0.0203864734299517,0.8549450549450549,0.0,0.01742931464670596
2014-02-17,-0.009405674967648103,0.8549450549450549,0.0,-0.008041335302011236
2014-02-18,-0.007471722160267702,0.8549450549450549,0.0,-0.006387911912844255
2014-02-19,-0.09815251761608956,0.9520174482006543,0.09707239325559935,-0.09358851794522274
2014-02-20,0.03468835653009639,0.9520174482006543,0.0,0.03302392066605686
2014-02-21,0.05079556205384006,0.9520174482006543,0.0,0.0483582613664148
2014-02-22,-0.0012932163436353283,0.9520174482006543,0.0,-0.0012311645234390858
2014-02-23,-0.12227704109229787,0.9520174482006543,0.0,-0.11640987663421595
2014-02-24,-0.0009150497675026736,0.9520174482006543,0.0,-0.0008711433446344974
2014-02-25,0.09390654205607474,0.9520174482006543,0.0,0.0894006665375717
2014-02-26,-0.003827489576925691,0.9556277056277056,0.0036102574270513443,-0.0036630704688520328
2014-02-27,-0.05336192109777016,0.9556277056277056,0.0,-0.05099413022654876
2014-02-28,0.028248382829911822,0.9556277056277056,0.0,0.02699493727144171
2014-03-01,-0.002185099034327176,0.9556277056277056,0.0,-0.002088141176743394
2014-03-02,0.19682466798530673,0.9556277056277056,0.0,0.1880911058777336
2014-03-03,-0.006920568401481586,0.9556277056277056,0.0,-0.006613486903147447
2014-03-04,-0.00447251114413072,0.9556277056277056,0.0,-0.004274055563059985
2014-03-05,-0.0006268750279854185,0.7035445757250268,0.2520831299026788,-0.0008191592204506337
2014-03-06,-0.05493077646847988,0.7035445757250268,0.0,-0.03864624982476297
2014-03-07,-0.020212076676306423,0.7035445757250268,0.0,-0.014220096909753713
