zone,days,median_1y_return,share_positive,independent_years_approx
0-20,419,1.2106009379430689,0.9952267303102625,1.1
20-40,433,1.5700501657322066,0.9191685912240185,1.2
40-60,789,0.7378744091974454,0.779467680608365,2.2
60-80,862,-0.0972101255192303,0.4245939675174014,2.4
80-100,451,-0.329610716870378,0.24611973392461198,1.2
