,ret,expo,turnover,strat
2012-03-08,-0.015968063872255467,1.0,1.0,-0.017468063872255468
2012-03-09,0.0020283975659229903,0.0,1.0,-0.0015
2012-03-10,0.012145748987854255,1.0,1.0,0.010645748987854255
2012-03-11,-0.0020000000000000018,1.0,0.0,-0.0020000000000000018
2012-03-12,0.06212424849699394,1.0,0.0,0.06212424849699394
2012-03-13,-0.005660377358490565,1.0,0.0,-0.005660377358490565
2012-03-14,0.022770398481973375,1.0,0.0,0.022770398481973375
2012-03-15,-0.024118738404452666,1.0,0.0,-0.024118738404452666
2012-03-16,0.03041825095057038,1.0,0.0,0.03041825095057038
2012-03-17,-0.03136531365313655,1.0,0.0,-0.03136531365313655
2012-03-18,-0.07999999999999996,1.0,0.0,-0.07999999999999996
2012-03-19,-0.008281573498964856,1.0,0.0,-0.008281573498964856
2012-03-20,0.035490605427974886,1.0,0.0,0.035490605427974886
2012-03-21,-0.010080645161290258,1.0,0.0,-0.010080645161290258
2012-03-22,-0.02647657841140527,1.0,0.0,-0.02647657841140527
2012-03-23,0.010460251046024993,1.0,0.0,0.010460251046024993
2012-03-24,-0.06004140786749479,1.0,0.0,-0.06004140786749479
2012-03-25,0.04185022026431717,0.0,1.0,-0.0015
2012-03-26,0.02325581395348819,1.0,1.0,0.02175581395348819
2012-03-27,0.018595041322313932,1.0,0.0,0.018595041322313932
2012-03-28,-0.018255578093306246,1.0,0.0,-0.018255578093306246
2012-03-29,0.008264462809917328,1.0,0.0,0.008264462809917328
2012-03-30,0.004098360655737876,1.0,0.0,0.004098360655737876
2012-03-31,-0.0020408163265307477,1.0,0.0,-0.0020408163265307477
2012-04-01,0.030674846625766916,1.0,0.0,0.030674846625766916
2012-04-02,-0.009920634920634885,1.0,0.0,-0.009920634920634885
2012-04-03,0.004008016032064132,1.0,0.0,0.004008016032064132
2012-04-04,-0.001996007984031878,1.0,0.0,-0.001996007984031878
2012-04-05,-0.0020000000000000018,1.0,0.0,-0.0020000000000000018
2012-04-06,-0.05811623246492992,1.0,0.0,-0.05811623246492992
2012-04-07,0.012765957446808418,1.0,0.0,0.012765957446808418
2012-04-08,-0.0021008403361344463,1.0,0.0,-0.0021008403361344463
2012-04-09,0.010526315789473717,1.0,0.0,0.010526315789473717
2012-04-10,0.025000000000000133,1.0,0.0,0.025000000000000133
2012-04-11,0.00203252032520318,1.0,0.0,0.00203252032520318
2012-04-12,0.0,1.0,0.0,0.0
2012-04-13,0.006085192697768749,1.0,0.0,0.006085192697768749
2012-04-14,0.006048387096774244,1.0,0.0,0.006048387096774244
2012-04-15,-0.002004008016032066,1.0,0.0,-0.002004008016032066
2012-04-16,0.0,1.0,0.0,0.0
2012-04-17,0.03614457831325302,1.0,0.0,0.03614457831325302
2012-04-18,-0.005813953488372103,1.0,0.0,-0.005813953488372103
2012-04-19,0.04873294346978563,1.0,0.0,0.04873294346978563
2012-04-20,-0.026022304832713727,1.0,0.0,-0.026022304832713727
2012-04-21,-0.013358778625954248,1.0,0.0,-0.013358778625954248
2012-04-22,-0.03288201160541582,1.0,0.0,-0.03288201160541582
2012-04-23,0.016000000000000014,1.0,0.0,0.016000000000000014
2012-04-24,0.011811023622047223,1.0,0.0,0.011811023622047223
2012-04-25,-0.03112840466926059,1.0,0.0,-0.03112840466926059
2012-04-26,0.012048192771084265,1.0,0.0,0.012048192771084265
2012-04-27,-0.025793650793650813,1.0,0.0,-0.025793650793650813
2012-04-28,0.0,1.0,0.0,0.0
2012-04-29,0.018329938900203624,1.0,0.0,0.018329938900203624
2012-04-30,-0.006000000000000005,1.0,0.0,-0.006000000000000005
2012-05-01,0.01810865191146882,1.0,0.0,0.01810865191146882
2012-05-02,0.007905138339920903,1.0,0.0,0.007905138339920903
2012-05-03,-0.005882352941176339,1.0,0.0,-0.005882352941176339
2012-05-04,-0.00591715976331364,1.0,0.0,-0.00591715976331364
2012-05-05,0.007936507936507908,1.0,0.0,0.007936507936507908
2012-05-06,-0.005905511811023723,1.0,0.0,-0.005905511811023723
2012-05-07,-0.005940594059405946,1.0,0.0,-0.005940594059405946
2012-05-08,0.0,1.0,0.0,0.0
2012-05-09,-0.029880478087649265,1.0,0.0,-0.029880478087649265
2012-05-10,0.01642710472279263,1.0,0.0,0.01642710472279263
2012-05-11,-0.008080808080808133,1.0,0.0,-0.008080808080808133
2012-05-12,0.006109979633401208,1.0,0.0,0.006109979633401208
2012-05-13,-0.002024291497975894,1.0,0.0,-0.002024291497975894
2012-05-14,0.0040567951318459805,1.0,0.0,0.0040567951318459805
2012-05-15,0.018181818181818077,1.0,0.0,0.018181818181818077
2012-05-16,-0.003968253968254065,1.0,0.0,-0.003968253968254065
2012-05-17,0.009960159362550014,1.0,0.0,0.009960159362550014
2012-05-18,0.0,1.0,0.0,0.0
2012-05-19,-0.007889546351084853,1.0,0.0,-0.007889546351084853
2012-05-20,0.00994035785288272,1.0,0.0,0.00994035785288272
2012-05-21,-0.009842519685039353,1.0,0.0,-0.009842519685039353
2012-05-22,0.01391650099403563,1.0,0.0,0.01391650099403563
2012-05-23,0.0039215686274509665,1.0,0.0,0.0039215686274509665
2012-05-24,-0.0078125,1.0,0.0,-0.0078125
2012-05-25,-0.0019685039370078705,1.0,0.0,-0.0019685039370078705
2012-05-26,0.0,1.0,0.0,0.0
2012-05-27,0.0,1.0,0.0,0.0
2012-05-28,0.007889546351084853,1.0,0.0,0.007889546351084853
2012-05-29,0.005870841487279677,1.0,0.0,0.005870841487279677
2012-05-30,0.005836575875486361,1.0,0.0,0.005836575875486361
2012-05-31,0.009671179883945724,1.0,0.0,0.009671179883945724
2012-06-01,-0.005747126436781436,1.0,0.0,-0.005747126436781436
2012-06-02,0.0,1.0,0.0,0.0
2012-06-03,0.005780346820809079,1.0,0.0,0.005780346820809079
2012-06-04,0.028735632183908066,1.0,0.0,0.028735632183908066
2012-06-05,0.007448789571694592,1.0,0.0,0.007448789571694592
2012-06-06,0.022181146025878062,1.0,0.0,0.022181146025878062
2012-06-07,0.014466546112115841,1.0,0.0,0.014466546112115841
2012-06-08,-0.02317290552584672,1.0,0.0,-0.02317290552584672
2012-06-09,-0.010948905109489093,1.0,0.0,-0.010948905109489093
2012-06-10,0.01845018450184499,1.0,0.0,0.01845018450184499
2012-06-11,0.034420289855072506,1.0,0.0,0.034420289855072506
2012-06-12,0.02626970227670755,1.0,0.0,0.02626970227670755
2012-06-13,0.006825938566553003,1.0,0.0,0.006825938566553003
2012-06-14,0.08813559322033893,1.0,0.0,0.08813559322033893
2012-06-15,-0.0015576323987538387,1.0,0.0,-0.0015576323987538387
2012-06-16,-0.03432137285491421,1.0,0.0,-0.03432137285491421
2012-06-17,-0.021001615508885463,1.0,0.0,-0.021001615508885463
2012-06-18,0.06600660066006614,1.0,0.0,0.06600660066006614
2012-06-19,0.02786377708978316,1.0,0.0,0.02786377708978316
2012-06-20,0.0,1.0,0.0,0.0
2012-06-21,-0.0075301204819276935,1.0,0.0,-0.0075301204819276935
2012-06-22,-0.02124430955993928,1.0,0.0,-0.02124430955993928
2012-06-23,-0.007751937984496138,1.0,0.0,-0.007751937984496138
2012-06-24,-0.02187500000000009,1.0,0.0,-0.02187500000000009
2012-06-25,0.02396166134185318,1.0,0.0,0.02396166134185318
2012-06-26,0.012480499219968744,1.0,0.0,0.012480499219968744
2012-06-27,0.0015408320493066618,1.0,0.0,0.0015408320493066618
2012-06-28,0.003076923076922977,1.0,0.0,0.003076923076922977
2012-06-29,0.013803680981595123,1.0,0.0,0.013803680981595123
2012-06-30,-0.013615733736762614,1.0,0.0,-0.013615733736762614
2012-07-01,0.013803680981595123,1.0,0.0,0.013803680981595123
2012-07-02,-0.02571860816944027,1.0,0.0,-0.02571860816944027
