,score,M066
2013-07-16,0.3214285714285714,0.3214285714285714
2013-07-17,0.33150684931506846,0.33150684931506846
2013-07-18,0.3387978142076503,0.3387978142076503
2013-07-19,0.3487738419618529,0.3487738419618529
2013-07-20,0.34782608695652173,0.34782608695652173
2013-07-21,0.3550135501355014,0.3550135501355014
2013-07-22,0.3513513513513513,0.3513513513513513
2013-07-23,0.3584905660377359,0.3584905660377359
2013-07-24,0.3467741935483871,0.3467741935483871
2013-07-25,0.34584450402144773,0.34584450402144773
2013-07-26,0.34224598930481287,0.34224598930481287
2013-07-27,0.344,0.344
2013-07-28,0.3563829787234043,0.3563829787234043
2013-07-29,0.33687002652519893,0.33687002652519893
2013-07-30,0.33597883597883593,0.33597883597883593
2013-07-31,0.3245382585751979,0.3245382585751979
2013-08-01,0.3236842105263158,0.3236842105263158
2013-08-02,0.33333333333333337,0.33333333333333337
2013-08-03,0.337696335078534,0.337696335078534
2013-08-04,0.3420365535248042,0.3420365535248042
2013-08-05,0.34114583333333337,0.34114583333333337
2013-08-06,0.33506493506493507,0.33506493506493507
2013-08-07,0.3393782383419689,0.3393782383419689
2013-08-08,0.35400516795865633,0.35400516795865633
2013-08-09,0.36855670103092786,0.36855670103092786
2013-08-10,0.390745501285347,0.390745501285347
2013-08-11,0.38717948717948714,0.38717948717948714
2013-08-12,0.3759590792838875,0.3759590792838875
2013-08-13,0.36734693877551017,0.36734693877551017
2013-08-14,0.3562340966921119,0.3562340966921119
2013-08-15,0.35279187817258884,0.35279187817258884
2013-08-16,0.36202531645569624,0.36202531645569624
2013-08-17,0.36363636363636365,0.36363636363636365
2013-08-18,0.35516372795969775,0.35516372795969775
2013-08-19,0.364321608040201,0.364321608040201
2013-08-20,0.3358395989974937,0.3358395989974937
2013-08-21,0.3225,0.3225
2013-08-22,0.2917705735660848,0.2917705735660848
2013-08-23,0.3009950248756219,0.3009950248756219
2013-08-24,0.315136476426799,0.315136476426799
2013-08-25,0.31188118811881194,0.31188118811881194
2013-08-26,0.28888888888888886,0.28888888888888886
2013-08-27,0.29802955665024633,0.29802955665024633
2013-08-28,0.27764127764127766,0.27764127764127766
2013-08-29,0.27941176470588236,0.27941176470588236
2013-08-30,0.28117359413202936,0.28117359413202936
2013-08-31,0.26097560975609757,0.26097560975609757
2013-09-01,0.25304136253041365,0.25304136253041365
2013-09-02,0.25,0.25
2013-09-03,0.2566585956416465,0.2566585956416465
2013-09-04,0.2584541062801933,0.2584541062801933
2013-09-05,0.28433734939759037,0.28433734939759037
2013-09-06,0.29567307692307687,0.29567307692307687
2013-09-07,0.31894484412470026,0.31894484412470026
2013-09-08,0.3110047846889952,0.3110047846889952
2013-09-09,0.3269689737470167,0.3269689737470167
2013-09-10,0.3047619047619048,0.3047619047619048
2013-09-11,0.2992874109263658,0.2992874109263658
2013-09-12,0.27725118483412325,0.27725118483412325
2013-09-13,0.2907801418439716,0.2907801418439716
2013-09-14,0.29009433962264153,0.29009433962264153
2013-09-15,0.3105882352941176,0.3105882352941176
2013-09-16,0.30516431924882625,0.30516431924882625
2013-09-17,0.30210772833723654,0.30210772833723654
2013-09-18,0.30140186915887845,0.30140186915887845
2013-09-19,0.30536130536130535,0.30536130536130535
2013-09-20,0.3441860465116279,0.3441860465116279
2013-09-21,0.3549883990719258,0.3549883990719258
2013-09-22,0.35416666666666663,0.35416666666666663
2013-09-23,0.36720554272517325,0.36720554272517325
2013-09-24,0.3732718894009217,0.3732718894009217
2013-09-25,0.37011494252873567,0.37011494252873567
2013-09-26,0.37844036697247707,0.37844036697247707
2013-09-27,0.3707093821510298,0.3707093821510298
2013-09-28,0.363013698630137,0.363013698630137
2013-09-29,0.3644646924829157,0.3644646924829157
2013-09-30,0.36590909090909096,0.36590909090909096
2013-10-01,0.3877551020408163,0.3877551020408163
2013-10-02,0.3733031674208145,0.3733031674208145
2013-10-03,0.4875846501128668,0.4875846501128668
2013-10-04,0.46621621621621623,0.46621621621621623
2013-10-05,0.43595505617977526,0.43595505617977526
2013-10-06,0.44618834080717484,0.44618834080717484
2013-10-07,0.4384787472035794,0.4384787472035794
2013-10-08,0.4330357142857143,0.4330357142857143
2013-10-09,0.42538975501113585,0.42538975501113585
2013-10-10,0.42000000000000004,0.42000000000000004
2013-10-11,0.4190687361419069,0.4190687361419069
2013-10-12,0.418141592920354,0.418141592920354
2013-10-13,0.41501103752759383,0.41501103752759383
2013-10-14,0.38986784140969166,0.38986784140969166
2013-10-15,0.3582417582417582,0.3582417582417582
2013-10-16,0.3092105263157895,0.3092105263157895
2013-10-17,0.33698030634573306,0.33698030634573306
2013-10-18,0.29912663755458513,0.29912663755458513
2013-10-19,0.2505446623093682,0.2505446623093682
2013-10-20,0.2195652173913043,0.2195652173913043
2013-10-21,0.22125813449023857,0.22125813449023857
2013-10-22,0.19913419913419916,0.19913419913419916
2013-10-23,0.18142548596112307,0.18142548596112307
2013-10-24,0.1724137931034483,0.1724137931034483
2013-10-25,0.18279569892473113,0.18279569892473113
2013-10-26,0.1995708154506438,0.1995708154506438
2013-10-27,0.21413276231263378,0.21413276231263378
2013-10-28,0.1858974358974359,0.1858974358974359
2013-10-29,0.18550106609808104,0.18550106609808104
2013-10-30,0.174468085106383,0.174468085106383
2013-10-31,0.18895966029723987,0.18895966029723987
2013-11-01,0.18220338983050843,0.18220338983050843
2013-11-02,0.18393234672304437,0.18393234672304437
2013-11-03,0.18354430379746833,0.18354430379746833
2013-11-04,0.17263157894736847,0.17263157894736847
2013-11-05,0.15966386554621848,0.15966386554621848
2013-11-06,0.1572327044025157,0.1572327044025157
2013-11-07,0.12970711297071125,0.12970711297071125
2013-11-08,0.07515657620041749,0.07515657620041749
2013-11-09,0.04791666666666672,0.04791666666666672
2013-11-10,0.0498960498960499,0.0498960498960499
2013-11-11,0.051867219917012486,0.051867219917012486
2013-11-12,0.04761904761904767,0.04761904761904767
2013-11-13,0.039256198347107474,0.039256198347107474
2013-11-14,0.026804123711340222,0.026804123711340222
2013-11-15,0.01851851851851849,0.01851851851851849
2013-11-16,0.024640657084188944,0.024640657084188944
2013-11-17,0.018442622950819665,0.018442622950819665
2013-11-18,0.010224948875255602,0.010224948875255602
2013-11-19,0.0020408163265306367,0.0020408163265306367
2013-11-20,0.008146639511201648,0.008146639511201648
2013-11-21,0.0060975609756097615,0.0060975609756097615
2013-11-22,0.0020283975659228792,0.0020283975659228792
2013-11-23,0.0,0.0
2013-11-24,0.0,0.0
2013-11-25,0.0040322580645161255,0.0040322580645161255
2013-11-26,0.004024144869215318,0.004024144869215318
2013-11-27,0.0,0.0
2013-11-28,0.0,0.0
2013-11-29,0.0,0.0
2013-11-30,0.0,0.0
2013-12-01,0.0019920318725099584,0.0019920318725099584
2013-12-02,0.007952286282306154,0.007952286282306154
2013-12-03,0.005952380952380931,0.005952380952380931
2013-12-04,0.003960396039603964,0.003960396039603964
2013-12-05,0.0039525691699604515,0.0039525691699604515
2013-12-06,0.013806706114398382,0.013806706114398382
2013-12-07,0.029527559055118058,0.029527559055118058
2013-12-08,0.037328094302554016,0.037328094302554016
2013-12-09,0.033333333333333326,0.033333333333333326
2013-12-10,0.02935420743639927,0.02935420743639927
2013-12-11,0.01953125,0.01953125
2013-12-12,0.033138401559454245,0.033138401559454245
2013-12-13,0.035019455252918275,0.035019455252918275
2013-12-14,0.03689320388349515,0.03689320388349515
2013-12-15,0.04263565891472865,0.04263565891472865
2013-12-16,0.04255319148936165,0.04255319148936165
2013-12-17,0.05984555984555984,0.05984555984555984
2013-12-18,0.06165703275529866,0.06165703275529866
2013-12-19,0.0903846153846154,0.0903846153846154
2013-12-20,0.06333973128598847,0.06333973128598847
2013-12-21,0.07279693486590033,0.07279693486590033
2013-12-22,0.08030592734225617,0.08030592734225617
2013-12-23,0.0725190839694656,0.0725190839694656
2013-12-24,0.06666666666666665,0.06666666666666665
2013-12-25,0.07414448669201523,0.07414448669201523
2013-12-26,0.06641366223908918,0.06641366223908918
2013-12-27,0.05492424242424243,0.05492424242424243
2013-12-28,0.06805293005671076,0.06805293005671076
2013-12-29,0.06981132075471697,0.06981132075471697
2013-12-30,0.06967984934086624,0.06967984934086624
2013-12-31,0.06954887218045114,0.06954887218045114
2014-01-01,0.075046904315197,0.075046904315197
2014-01-02,0.0674157303370787,0.0674157303370787
2014-01-03,0.05794392523364489,0.05794392523364489
2014-01-04,0.05410447761194026,0.05410447761194026
2014-01-05,0.054003724394785846,0.054003724394785846
2014-01-06,0.05018587360594795,0.05018587360594795
2014-01-07,0.05009276437847865,0.05009276437847865
2014-01-08,0.06851851851851853,0.06851851851851853
2014-01-09,0.06654343807763397,0.06654343807763397
2014-01-10,0.0627306273062731,0.0627306273062731
2014-01-11,0.05893186003683237,0.05893186003683237
2014-01-12,0.05698529411764708,0.05698529411764708
2014-01-13,0.07339449541284404,0.07339449541284404
2014-01-14,0.08608058608058611,0.08608058608058611
2014-01-15,0.09506398537477145,0.09506398537477145
2014-01-16,0.08211678832116787,0.08211678832116787
2014-01-17,0.10200364298724951,0.10200364298724951
2014-01-18,0.10545454545454547,0.10545454545454547
2014-01-19,0.10344827586206895,0.10344827586206895
2014-01-20,0.10144927536231885,0.10144927536231885
2014-01-21,0.10488245931283902,0.10488245931283902
2014-01-22,0.11010830324909748,0.11010830324909748
2014-01-23,0.11531531531531536,0.11531531531531536
2014-01-24,0.12230215827338131,0.12230215827338131
2014-01-25,0.12746858168761221,0.12746858168761221
2014-01-26,0.1254480286738351,0.1254480286738351
2014-01-27,0.12522361359570666,0.12522361359570666
2014-01-28,0.1428571428571429,0.1428571428571429
2014-01-29,0.13903743315508021,0.13903743315508021
2014-01-30,0.14056939501779364,0.14056939501779364
2014-01-31,0.1403197158081705,0.1403197158081705
2014-02-01,0.1436170212765957,0.1436170212765957
2014-02-02,0.1380530973451327,0.1380530973451327
2014-02-03,0.14487632508833925,0.14487632508833925
2014-02-04,0.1499118165784833,0.1499118165784833
2014-02-05,0.15140845070422537,0.15140845070422537
2014-02-06,0.156414762741652,0.156414762741652
2014-02-07,0.16491228070175434,0.16491228070175434
2014-02-08,0.180385288966725,0.180385288966725
2014-02-09,0.19055944055944052,0.19055944055944052
2014-02-10,0.1902268760907504,0.1902268760907504
2014-02-11,0.19337979094076652,0.19337979094076652
2014-02-12,0.20173913043478264,0.20173913043478264
2014-02-13,0.2065972222222222,0.2065972222222222
2014-02-14,0.22183708838821492,0.22183708838821492
2014-02-15,0.20415224913494812,0.20415224913494812
2014-02-16,0.21070811744386875,0.21070811744386875
2014-02-17,0.2258620689655172,0.2258620689655172
2014-02-18,0.22030981067125643,0.22030981067125643
2014-02-19,0.22852233676975942,0.22852233676975942
2014-02-20,0.23499142367066894,0.23499142367066894
2014-02-21,0.28767123287671237,0.28767123287671237
2014-02-22,0.28376068376068375,0.28376068376068375
2014-02-23,0.2593856655290102,0.2593856655290102
2014-02-24,0.2606473594548552,0.2606473594548552
2014-02-25,0.314625850340136,0.314625850340136
2014-02-26,0.3174872665534805,0.3174872665534805
2014-02-27,0.28983050847457625,0.28983050847457625
2014-02-28,0.29610829103214886,0.29610829103214886
2014-03-01,0.3192567567567568,0.3192567567567568
2014-03-02,0.3086003372681282,0.3086003372681282
2014-03-03,0.31986531986531985,0.31986531986531985
2014-03-04,0.22352941176470587,0.22352941176470587
2014-03-05,0.22651006711409394,0.22651006711409394
2014-03-06,0.24120603015075381,0.24120603015075381
2014-03-07,0.24247491638795982,0.24247491638795982
2014-03-08,0.2854757929883138,0.2854757929883138
2014-03-09,0.29500000000000004,0.29500000000000004
2014-03-10,0.2845257903494176,0.2845257903494176
2014-03-11,0.2973421926910299,0.2973421926910299
2014-03-12,0.2935323383084577,0.2935323383084577
2014-03-13,0.29966887417218546,0.29966887417218546
2014-03-14,0.2892561983471075,0.2892561983471075
2014-03-15,0.31188118811881194,0.31188118811881194
2014-03-16,0.3113673805601318,0.3113673805601318
2014-03-17,0.3157894736842105,0.3157894736842105
2014-03-18,0.3234811165845649,0.3234811165845649
2014-03-19,0.3327868852459016,0.3327868852459016
2014-03-20,0.34042553191489366,0.34042553191489366
2014-03-21,0.34477124183006536,0.34477124183006536
2014-03-22,0.3523654159869495,0.3523654159869495
2014-03-23,0.35504885993485347,0.35504885993485347
2014-03-24,0.3577235772357723,0.3577235772357723
2014-03-25,0.349025974025974,0.349025974025974
2014-03-26,0.35170178282009723,0.35170178282009723
2014-03-27,0.3559870550161812,0.3559870550161812
2014-03-28,0.4135702746365105,0.4135702746365105
2014-03-29,0.4096774193548387,0.4096774193548387
2014-03-30,0.41384863123993554,0.41384863123993554
2014-03-31,0.44051446945337625,0.44051446945337625
2014-04-01,0.4462279293739968,0.4462279293739968
2014-04-02,0.4262820512820513,0.4262820512820513
2014-04-03,0.47040000000000004,0.47040000000000004
2014-04-04,0.452076677316294,0.452076677316294
2014-04-05,0.45773524720893144,0.45773524720893144
2014-04-06,0.447452229299363,0.447452229299363
2014-04-07,0.4483306836248012,0.4483306836248012
2014-04-08,0.4746031746031746,0.4746031746031746
2014-04-09,0.4706814580031695,0.4706814580031695
2014-04-10,0.49841772151898733,0.49841772151898733
2014-04-11,0.631911532385466,0.631911532385466
2014-04-12,0.556782334384858,0.556782334384858
2014-04-13,0.5559055118110237,0.5559055118110237
2014-04-14,0.5738993710691824,0.5738993710691824
2014-04-15,0.4740973312401884,0.4740973312401884
2014-04-16,0.4106583072100314,0.4106583072100314
2014-04-17,0.4021909233176839,0.4021909233176839
2014-04-18,0.428125,0.428125
2014-04-19,0.4477379095163807,0.4477379095163807
2014-04-20,0.42834890965732086,0.42834890965732086
2014-04-21,0.44012441679626746,0.44012441679626746
2014-04-22,0.4425465838509317,0.4425465838509317
2014-04-23,0.45581395348837206,0.45581395348837206
2014-04-24,0.45665634674922606,0.45665634674922606
2014-04-25,0.44358578052550235,0.44358578052550235
2014-04-26,0.5185185185185186,0.5185185185185186
2014-04-27,0.539291217257319,0.539291217257319
2014-04-28,0.5892307692307692,0.5892307692307692
2014-04-29,0.588325652841782,0.588325652841782
2014-04-30,0.5797546012269938,0.5797546012269938
2014-05-01,0.5819295558958653,0.5819295558958653
2014-05-02,0.5642201834862386,0.5642201834862386
2014-05-03,0.584732824427481,0.584732824427481
2014-05-04,0.625,0.625
2014-05-05,0.634703196347032,0.634703196347032
2014-05-06,0.6382978723404256,0.6382978723404256
2014-05-07,0.6388467374810318,0.6388467374810318
2014-05-08,0.6318181818181818,0.6318181818181818
2014-05-09,0.6354009077155824,0.6354009077155824
2014-05-10,0.6132930513595166,0.6132930513595166
2014-05-11,0.6063348416289593,0.6063348416289593
2014-05-12,0.6400602409638554,0.6400602409638554
2014-05-13,0.6390977443609023,0.6390977443609023
2014-05-14,0.6426426426426426,0.6426426426426426
2014-05-15,0.6386806596701649,0.6386806596701649
2014-05-16,0.6362275449101796,0.6362275449101796
2014-05-17,0.6367713004484306,0.6367713004484306
2014-05-18,0.6432835820895522,0.6432835820895522
2014-05-19,0.646795827123696,0.646795827123696
2014-05-20,0.6473214285714286,0.6473214285714286
2014-05-21,0.5616641901931649,0.5616641901931649
2014-05-22,0.5608308605341246,0.5608308605341246
2014-05-23,0.4918518518518519,0.4918518518518519
2014-05-24,0.5,0.5
2014-05-25,0.49483013293943867,0.49483013293943867
2014-05-26,0.4218289085545722,0.4218289085545722
2014-05-27,0.4153166421207658,0.4153166421207658
2014-05-28,0.42794117647058827,0.42794117647058827
2014-05-29,0.42731277533039647,0.42731277533039647
2014-05-30,0.4457478005865103,0.4457478005865103
2014-05-31,0.3894582723279648,0.3894582723279648
2014-06-01,0.38888888888888884,0.38888888888888884
2014-06-02,0.38978102189781016,0.38978102189781016
2014-06-03,0.3717201166180758,0.3717201166180758
2014-06-04,0.3668122270742358,0.3668122270742358
2014-06-05,0.38808139534883723,0.38808139534883723
2014-06-06,0.37445573294629897,0.37445573294629897
2014-06-07,0.3884057971014493,0.3884057971014493
2014-06-08,0.3878437047756874,0.3878437047756874
2014-06-09,0.388728323699422,0.388728323699422
2014-06-10,0.40115440115440115,0.40115440115440115
2014-06-11,0.4034582132564841,0.4034582132564841
2014-06-12,0.4201438848920863,0.4201438848920863
2014-06-13,0.47844827586206895,0.47844827586206895
2014-06-14,0.4748923959827833,0.4748923959827833
2014-06-15,0.5200573065902578,0.5200573065902578
2014-06-16,0.49928469241773965,0.49928469241773965
2014-06-17,0.5014285714285714,0.5014285714285714
2014-06-18,0.4721825962910129,0.4721825962910129
2014-06-19,0.47720797720797725,0.47720797720797725
2014-06-20,0.5092460881934566,0.5092460881934566
2014-06-21,0.5227272727272727,0.5227272727272727
2014-06-22,0.526241134751773,0.526241134751773
2014-06-23,0.5141643059490084,0.5141643059490084
2014-06-24,0.5445544554455446,0.5445544554455446
2014-06-25,0.5720338983050848,0.5720338983050848
2014-06-26,0.6093088857545839,0.6093088857545839
2014-06-27,0.5788732394366197,0.5788732394366197
2014-06-28,0.5372714486638537,0.5372714486638537
