,score,y,year
2020-01-01,0.4439617723718505,1.3980835199327881,2020
2020-01-02,0.44499131441806605,1.442053023476516,2020
2020-01-03,0.46078147612156295,1.4764751099863112,2020
2020-01-04,0.43344907407407407,1.5111217300301292,2020
2020-01-05,0.43158808215215505,1.4654417350899247,2020
2020-01-06,0.4323308270676691,1.4770187392392893,2020
2020-01-07,0.40763226366001737,1.5049206608203756,2020
2020-01-08,0.3864161849710983,1.5821996545903931,2020
2020-01-09,0.3909274776076278,1.651760811316611,2020
2020-01-10,0.4072790294627383,1.6025653098761372,2020
2020-01-11,0.3869477331793243,1.5627814176097685,2020
2020-01-12,0.394919168591224,1.4632173459555895,2020
2020-01-13,0.38643578643578647,1.4233004781948873,2020
2020-01-14,0.38863242931332953,1.4407267366357475,2020
2020-01-15,0.35217767522353616,1.4886762943728626,2020
2020-01-16,0.35236447520184544,1.4375891913338865,2020
2020-01-17,0.3562986451426924,1.4009712875166551,2020
2020-01-18,0.3495677233429395,1.3962471652333757,2020
2020-01-19,0.34946701238836075,1.4380238909471574,2020
2020-01-20,0.3603110599078341,1.434473935918554,2020
2020-01-21,0.36481428160092144,1.403103916338387,2020
2020-01-22,0.35837651122625214,1.2774107145878526,2020
2020-01-23,0.3654676258992806,1.3718745938731451,2020
2020-01-24,0.3800345224395857,1.3358566077180882,2020
2020-01-25,0.37762438884095484,1.350830917925686,2020
2020-01-26,0.3829787234042553,1.3300466792304864,2020
2020-01-27,0.3705087668870365,1.2992867146026812,2020
2020-01-28,0.35229885057471266,1.1833573290937234,2020
2020-01-29,0.3335248491812698,1.2805840674547084,2020
2020-01-30,0.33342906375646175,1.279004964126909,2020
2020-01-31,0.3241458512776342,1.30044444407962,2020
2020-02-01,0.33151549942594716,1.262498153522979,2020
2020-02-02,0.3311334289813487,1.2794002837163563,2020
2020-02-03,0.3344807802639128,1.3443961112412377,2020
2020-02-04,0.33667909377688554,1.4114048996661648,2020
2020-02-05,0.34346330275229353,1.3497140752868306,2020
2020-02-06,0.3201490398394956,1.3626133033609362,2020
2020-02-07,0.31747851002865335,1.3898748179451095,2020
2020-02-08,0.3142366084216557,1.369964023270585,2020
2020-02-09,0.3087056128293242,1.5137082109075846,2020
2020-02-10,0.29916976810764384,1.5507483953296757,2020
2020-02-11,0.31224957069261594,1.4789537569259166,2020
2020-02-12,0.2952789699570816,1.5310007451854002,2020
2020-02-13,0.29290617848970246,1.535398480742696,2020
2020-02-14,0.29768372891049466,1.516468430199542,2020
2020-02-15,0.2933104631217839,1.5946230137062245,2020
