fid,name,system,sign,price,horizon,window,slice,n,n_eff,ic,lo,hi,signed_ic,sign_ok,ci_excludes_0,status
O080,Exchange balance 30d change,regime,-1,bv,90,dev,full,1873,20.8,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,90,dev,ex_2020-03_2022-01,1081,12.0,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,90,dev,ex_2017,1736,19.3,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,90,dev,since_2022,275,3.1,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,90,holdout,full,1240,13.8,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,180,dev,full,1783,9.9,-0.184,-0.4857,0.1101,0.184,True,False,ok
O080,Exchange balance 30d change,regime,-1,bv,180,dev,ex_2020-03_2022-01,901,5.0,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,180,dev,ex_2017,1646,9.1,-0.1608,-0.4709,0.2062,0.1608,True,False,ok
O080,Exchange balance 30d change,regime,-1,bv,180,dev,since_2022,185,1.0,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,180,holdout,full,1150,6.4,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,365,dev,full,1598,4.4,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,365,dev,ex_2020-03_2022-01,562,1.5,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,365,dev,ex_2017,1461,4.0,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,365,dev,since_2022,0,0.0,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,bv,365,holdout,full,965,2.6,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,cm,1,dev,full,4238,4238.0,-0.0085,-0.0385,0.0237,0.0085,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,1,dev,ex_2020-03_2022-01,3535,3535.0,-0.0054,-0.0408,0.0362,0.0054,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,1,dev,ex_2017,3872,3872.0,-0.0015,-0.034,0.0311,0.0015,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,1,dev,since_2022,364,364.0,-0.0541,-0.1045,0.0117,0.0541,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,1,holdout,full,1329,1329.0,-0.0226,-0.0663,0.0187,0.0226,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,7,dev,full,4232,604.6,-0.0658,-0.1306,-0.002,0.0658,True,True,ok
O080,Exchange balance 30d change,regime,-1,cm,7,dev,ex_2020-03_2022-01,3523,503.3,-0.0611,-0.1337,0.0146,0.0611,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,7,dev,ex_2017,3860,551.4,-0.0473,-0.1141,0.0169,0.0473,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,7,dev,since_2022,358,51.1,-0.1107,-0.2627,0.0379,0.1107,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,7,holdout,full,1323,189.0,-0.0137,-0.1047,0.0923,0.0137,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,30,dev,full,4209,140.3,-0.1591,-0.2657,-0.0615,0.1591,True,True,ok
O080,Exchange balance 30d change,regime,-1,cm,30,dev,ex_2020-03_2022-01,3477,115.9,-0.1513,-0.2769,-0.0286,0.1513,True,True,ok
O080,Exchange balance 30d change,regime,-1,cm,30,dev,ex_2017,3814,127.1,-0.1469,-0.258,-0.0558,0.1469,True,True,ok
O080,Exchange balance 30d change,regime,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,cm,30,holdout,full,1300,43.3,0.1024,-0.0722,0.286,-0.1024,False,False,ok
O080,Exchange balance 30d change,regime,-1,cm,90,dev,full,4149,46.1,-0.1816,-0.3452,-0.0302,0.1816,True,True,ok
O080,Exchange balance 30d change,regime,-1,cm,90,dev,ex_2020-03_2022-01,3357,37.3,-0.1666,-0.3346,0.0179,0.1666,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,90,dev,ex_2017,3694,41.0,-0.1566,-0.3413,0.0275,0.1566,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,cm,180,dev,full,4059,22.6,-0.1386,-0.3475,0.0789,0.1386,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,180,dev,ex_2020-03_2022-01,3177,17.6,-0.1057,-0.3311,0.1231,0.1057,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,180,dev,ex_2017,3514,19.5,-0.0698,-0.3159,0.1559,0.0698,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,cm,365,dev,full,3874,10.6,-0.1537,-0.3897,0.0825,0.1537,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,365,dev,ex_2020-03_2022-01,2838,7.8,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,cm,365,dev,ex_2017,3144,8.6,-0.0651,-0.3304,0.1435,0.0651,True,False,ok
O080,Exchange balance 30d change,regime,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
O080,Exchange balance 30d change,regime,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,1,dev,full,1962,1962.0,0.0324,-0.0046,0.0696,0.0324,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,1,dev,ex_2020-03_2022-01,1259,1259.0,0.0344,-0.0138,0.0721,0.0344,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,1,dev,ex_2017,1825,1825.0,0.0284,-0.0071,0.0648,0.0284,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,1,dev,since_2022,364,364.0,0.0144,-0.0571,0.0785,0.0144,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,1,holdout,full,1329,1329.0,0.0139,-0.0281,0.055,0.0139,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,7,dev,full,1956,279.4,0.1189,0.029,0.199,0.1189,True,True,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,7,dev,ex_2020-03_2022-01,1247,178.1,0.1105,0.0052,0.2144,0.1105,True,True,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,7,dev,ex_2017,1819,259.9,0.11,0.0256,0.1881,0.11,True,True,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,7,dev,since_2022,358,51.1,-0.0461,-0.231,0.1371,-0.0461,False,False,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,7,holdout,full,1323,189.0,0.0393,-0.0602,0.1521,0.0393,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,30,dev,full,1933,64.4,0.1908,0.0216,0.3423,0.1908,True,True,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,30,dev,ex_2020-03_2022-01,1201,40.0,0.1979,-0.0051,0.3728,0.1979,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,30,dev,ex_2017,1796,59.9,0.1761,0.0143,0.3499,0.1761,True,True,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,30,dev,since_2022,335,11.2,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,30,holdout,full,1300,43.3,0.1583,-0.0585,0.3528,0.1583,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,90,dev,full,1873,20.8,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,90,dev,ex_2020-03_2022-01,1081,12.0,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,90,dev,ex_2017,1736,19.3,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,90,dev,since_2022,275,3.1,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,90,holdout,full,1240,13.8,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,180,dev,full,1783,9.9,0.2633,-0.0804,0.5248,0.2633,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,180,dev,ex_2020-03_2022-01,901,5.0,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,180,dev,ex_2017,1646,9.1,0.2576,-0.1109,0.5829,0.2576,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,bv,180,dev,since_2022,185,1.0,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,180,holdout,full,1150,6.4,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,365,dev,full,1598,4.4,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,365,dev,ex_2020-03_2022-01,562,1.5,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,365,dev,ex_2017,1461,4.0,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,365,dev,since_2022,0,0.0,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,bv,365,holdout,full,965,2.6,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,cm,1,dev,full,4549,4549.0,0.0413,0.0104,0.0716,0.0413,True,True,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,1,dev,ex_2020-03_2022-01,3846,3846.0,0.0516,0.0178,0.0879,0.0516,True,True,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,1,dev,ex_2017,4183,4183.0,0.034,0.0019,0.0667,0.034,True,True,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,1,dev,since_2022,364,364.0,0.0084,-0.0711,0.0914,0.0084,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,1,holdout,full,1329,1329.0,0.0139,-0.0281,0.0539,0.0139,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,7,dev,full,4543,649.0,0.0804,0.0103,0.1474,0.0804,True,True,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,7,dev,ex_2020-03_2022-01,3834,547.7,0.0833,0.0158,0.166,0.0833,True,True,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,7,dev,ex_2017,4171,595.9,0.0698,-0.0042,0.1416,0.0698,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,7,dev,since_2022,358,51.1,-0.0478,-0.21,0.1389,-0.0478,False,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,7,holdout,full,1323,189.0,0.0388,-0.0666,0.1417,0.0388,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,30,dev,full,4520,150.7,0.095,-0.0255,0.2267,0.095,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,30,dev,ex_2020-03_2022-01,3788,126.3,0.1025,-0.0275,0.2295,0.1025,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,30,dev,ex_2017,4125,137.5,0.085,-0.0387,0.2164,0.085,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,cm,30,holdout,full,1300,43.3,0.1591,-0.0722,0.3341,0.1591,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,90,dev,full,4460,49.6,0.1177,-0.0688,0.296,0.1177,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,90,dev,ex_2020-03_2022-01,3668,40.8,0.1964,0.0086,0.417,0.1964,True,True,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,90,dev,ex_2017,4005,44.5,0.1091,-0.0726,0.2866,0.1091,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,cm,180,dev,full,4370,24.3,0.0644,-0.1658,0.2516,0.0644,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,180,dev,ex_2020-03_2022-01,3488,19.4,0.1322,-0.107,0.3675,0.1322,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,180,dev,ex_2017,3825,21.2,0.0867,-0.152,0.2674,0.0867,True,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,cm,365,dev,full,4185,11.5,-0.0765,-0.3429,0.1797,-0.0765,False,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,365,dev,ex_2020-03_2022-01,3149,8.6,-0.0749,-0.3026,0.208,-0.0749,False,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,365,dev,ex_2017,3455,9.5,-0.04,-0.3176,0.2209,-0.04,False,False,ok
M115,Net liquidity heuristic 13w change,regime,1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
M115,Net liquidity heuristic 13w change,regime,1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,1,dev,full,1962,1962.0,-0.0062,-0.0412,0.0311,0.0062,True,False,ok
M106,Broad dollar 30d change,regime,-1,bv,1,dev,ex_2020-03_2022-01,1259,1259.0,-0.0061,-0.0444,0.0399,0.0061,True,False,ok
M106,Broad dollar 30d change,regime,-1,bv,1,dev,ex_2017,1825,1825.0,-0.0115,-0.0452,0.0268,0.0115,True,False,ok
M106,Broad dollar 30d change,regime,-1,bv,1,dev,since_2022,364,364.0,0.0442,-0.0074,0.1067,-0.0442,False,False,ok
M106,Broad dollar 30d change,regime,-1,bv,1,holdout,full,1329,1329.0,0.0046,-0.04,0.0512,-0.0046,False,False,ok
M106,Broad dollar 30d change,regime,-1,bv,7,dev,full,1956,279.4,-0.012,-0.1088,0.0882,0.012,True,False,ok
M106,Broad dollar 30d change,regime,-1,bv,7,dev,ex_2020-03_2022-01,1247,178.1,-0.0026,-0.1075,0.1116,0.0026,True,False,ok
M106,Broad dollar 30d change,regime,-1,bv,7,dev,ex_2017,1819,259.9,-0.0256,-0.1192,0.0674,0.0256,True,False,ok
M106,Broad dollar 30d change,regime,-1,bv,7,dev,since_2022,358,51.1,0.1153,-0.0783,0.3065,-0.1153,False,False,ok
M106,Broad dollar 30d change,regime,-1,bv,7,holdout,full,1323,189.0,0.0225,-0.097,0.1389,-0.0225,False,False,ok
M106,Broad dollar 30d change,regime,-1,bv,30,dev,full,1933,64.4,-0.0488,-0.2258,0.1038,0.0488,True,False,ok
M106,Broad dollar 30d change,regime,-1,bv,30,dev,ex_2020-03_2022-01,1201,40.0,-0.0637,-0.2151,0.1031,0.0637,True,False,ok
M106,Broad dollar 30d change,regime,-1,bv,30,dev,ex_2017,1796,59.9,-0.0776,-0.2114,0.08,0.0776,True,False,ok
M106,Broad dollar 30d change,regime,-1,bv,30,dev,since_2022,335,11.2,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,30,holdout,full,1300,43.3,0.1762,-0.0075,0.3528,-0.1762,False,False,ok
M106,Broad dollar 30d change,regime,-1,bv,90,dev,full,1873,20.8,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,90,dev,ex_2020-03_2022-01,1081,12.0,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,90,dev,ex_2017,1736,19.3,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,90,dev,since_2022,275,3.1,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,90,holdout,full,1240,13.8,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,180,dev,full,1783,9.9,-0.2306,-0.3736,-0.0186,0.2306,True,True,ok
M106,Broad dollar 30d change,regime,-1,bv,180,dev,ex_2020-03_2022-01,901,5.0,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,180,dev,ex_2017,1646,9.1,-0.2539,-0.39,-0.0256,0.2539,True,True,ok
M106,Broad dollar 30d change,regime,-1,bv,180,dev,since_2022,185,1.0,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,180,holdout,full,1150,6.4,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,365,dev,full,1598,4.4,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,365,dev,ex_2020-03_2022-01,562,1.5,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,365,dev,ex_2017,1461,4.0,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,365,dev,since_2022,0,0.0,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,bv,365,holdout,full,965,2.6,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,cm,1,dev,full,4549,4549.0,-0.0263,-0.0501,0.0052,0.0263,True,False,ok
M106,Broad dollar 30d change,regime,-1,cm,1,dev,ex_2020-03_2022-01,3846,3846.0,-0.0317,-0.0594,-0.0028,0.0317,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,1,dev,ex_2017,4183,4183.0,-0.0209,-0.051,0.0064,0.0209,True,False,ok
M106,Broad dollar 30d change,regime,-1,cm,1,dev,since_2022,364,364.0,0.0434,-0.0157,0.1051,-0.0434,False,False,ok
M106,Broad dollar 30d change,regime,-1,cm,1,holdout,full,1329,1329.0,0.0053,-0.042,0.0543,-0.0053,False,False,ok
M106,Broad dollar 30d change,regime,-1,cm,7,dev,full,4543,649.0,-0.0748,-0.1441,-0.0107,0.0748,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,7,dev,ex_2020-03_2022-01,3834,547.7,-0.0876,-0.1464,-0.0141,0.0876,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,7,dev,ex_2017,4171,595.9,-0.0669,-0.1348,0.0002,0.0669,True,False,ok
M106,Broad dollar 30d change,regime,-1,cm,7,dev,since_2022,358,51.1,0.1149,-0.0926,0.2962,-0.1149,False,False,ok
M106,Broad dollar 30d change,regime,-1,cm,7,holdout,full,1323,189.0,0.0229,-0.0838,0.1339,-0.0229,False,False,ok
M106,Broad dollar 30d change,regime,-1,cm,30,dev,full,4520,150.7,-0.1292,-0.2235,-0.0269,0.1292,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,30,dev,ex_2020-03_2022-01,3788,126.3,-0.154,-0.2592,-0.0418,0.154,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,30,dev,ex_2017,4125,137.5,-0.1281,-0.2439,-0.0199,0.1281,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,cm,30,holdout,full,1300,43.3,0.1758,-0.0433,0.3557,-0.1758,False,False,ok
M106,Broad dollar 30d change,regime,-1,cm,90,dev,full,4460,49.6,-0.2433,-0.3325,-0.1187,0.2433,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,90,dev,ex_2020-03_2022-01,3668,40.8,-0.2523,-0.3716,-0.1385,0.2523,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,90,dev,ex_2017,4005,44.5,-0.2382,-0.3381,-0.0988,0.2382,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,cm,180,dev,full,4370,24.3,-0.2376,-0.3508,-0.1066,0.2376,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,180,dev,ex_2020-03_2022-01,3488,19.4,-0.2433,-0.349,-0.1025,0.2433,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,180,dev,ex_2017,3825,21.2,-0.2268,-0.3186,-0.1048,0.2268,True,True,ok
M106,Broad dollar 30d change,regime,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,cm,365,dev,full,4185,11.5,-0.1193,-0.2237,0.0332,0.1193,True,False,ok
M106,Broad dollar 30d change,regime,-1,cm,365,dev,ex_2020-03_2022-01,3149,8.6,-0.1318,-0.2464,0.0268,0.1318,True,False,ok
M106,Broad dollar 30d change,regime,-1,cm,365,dev,ex_2017,3455,9.5,-0.1451,-0.2507,0.0237,0.1451,True,False,ok
M106,Broad dollar 30d change,regime,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
M106,Broad dollar 30d change,regime,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,1,dev,full,1962,1962.0,-0.0281,-0.0655,0.0082,0.0281,True,False,ok
M107,Real 10y yield 30d change,regime,-1,bv,1,dev,ex_2020-03_2022-01,1259,1259.0,-0.0467,-0.0792,-0.0029,0.0467,True,True,ok
M107,Real 10y yield 30d change,regime,-1,bv,1,dev,ex_2017,1825,1825.0,-0.0381,-0.0663,-0.0006,0.0381,True,True,ok
M107,Real 10y yield 30d change,regime,-1,bv,1,dev,since_2022,364,364.0,-0.0145,-0.0834,0.0459,0.0145,True,False,ok
M107,Real 10y yield 30d change,regime,-1,bv,1,holdout,full,1329,1329.0,0.009,-0.0373,0.0562,-0.009,False,False,ok
M107,Real 10y yield 30d change,regime,-1,bv,7,dev,full,1956,279.4,-0.0736,-0.1663,0.02,0.0736,True,False,ok
M107,Real 10y yield 30d change,regime,-1,bv,7,dev,ex_2020-03_2022-01,1247,178.1,-0.1227,-0.2302,-0.033,0.1227,True,True,ok
M107,Real 10y yield 30d change,regime,-1,bv,7,dev,ex_2017,1819,259.9,-0.1055,-0.187,-0.0075,0.1055,True,True,ok
M107,Real 10y yield 30d change,regime,-1,bv,7,dev,since_2022,358,51.1,-0.062,-0.2379,0.1354,0.062,True,False,ok
M107,Real 10y yield 30d change,regime,-1,bv,7,holdout,full,1323,189.0,0.0895,-0.0082,0.188,-0.0895,False,False,ok
M107,Real 10y yield 30d change,regime,-1,bv,30,dev,full,1933,64.4,-0.1056,-0.2363,0.0575,0.1056,True,False,ok
M107,Real 10y yield 30d change,regime,-1,bv,30,dev,ex_2020-03_2022-01,1201,40.0,-0.2559,-0.3918,-0.0873,0.2559,True,True,ok
M107,Real 10y yield 30d change,regime,-1,bv,30,dev,ex_2017,1796,59.9,-0.1364,-0.2996,0.0413,0.1364,True,False,ok
M107,Real 10y yield 30d change,regime,-1,bv,30,dev,since_2022,335,11.2,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,30,holdout,full,1300,43.3,0.3279,0.1742,0.456,-0.3279,False,True,ok
M107,Real 10y yield 30d change,regime,-1,bv,90,dev,full,1873,20.8,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,90,dev,ex_2020-03_2022-01,1081,12.0,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,90,dev,ex_2017,1736,19.3,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,90,dev,since_2022,275,3.1,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,90,holdout,full,1240,13.8,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,180,dev,full,1783,9.9,-0.3382,-0.4707,-0.1606,0.3382,True,True,ok
M107,Real 10y yield 30d change,regime,-1,bv,180,dev,ex_2020-03_2022-01,901,5.0,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,180,dev,ex_2017,1646,9.1,-0.3552,-0.4487,-0.1737,0.3552,True,True,ok
M107,Real 10y yield 30d change,regime,-1,bv,180,dev,since_2022,185,1.0,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,180,holdout,full,1150,6.4,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,365,dev,full,1598,4.4,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,365,dev,ex_2020-03_2022-01,562,1.5,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,365,dev,ex_2017,1461,4.0,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,365,dev,since_2022,0,0.0,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,bv,365,holdout,full,965,2.6,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,cm,1,dev,full,4549,4549.0,-0.0112,-0.0346,0.0163,0.0112,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,1,dev,ex_2020-03_2022-01,3846,3846.0,-0.015,-0.0411,0.0175,0.015,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,1,dev,ex_2017,4183,4183.0,-0.0128,-0.0424,0.0139,0.0128,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,1,dev,since_2022,364,364.0,-0.0108,-0.073,0.0517,0.0108,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,1,holdout,full,1329,1329.0,0.0103,-0.0269,0.0566,-0.0103,False,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,7,dev,full,4543,649.0,-0.0446,-0.1001,0.02,0.0446,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,7,dev,ex_2020-03_2022-01,3834,547.7,-0.0573,-0.1256,0.0084,0.0573,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,7,dev,ex_2017,4171,595.9,-0.0527,-0.1208,0.0112,0.0527,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,7,dev,since_2022,358,51.1,-0.0602,-0.2403,0.1519,0.0602,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,7,holdout,full,1323,189.0,0.09,-0.0185,0.1826,-0.09,False,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,30,dev,full,4520,150.7,-0.0661,-0.1545,0.0319,0.0661,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,30,dev,ex_2020-03_2022-01,3788,126.3,-0.1053,-0.2098,0.0057,0.1053,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,30,dev,ex_2017,4125,137.5,-0.0853,-0.1771,0.0192,0.0853,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,cm,30,holdout,full,1300,43.3,0.3282,0.1491,0.4492,-0.3282,False,True,ok
M107,Real 10y yield 30d change,regime,-1,cm,90,dev,full,4460,49.6,-0.0752,-0.188,0.0473,0.0752,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,90,dev,ex_2020-03_2022-01,3668,40.8,-0.0801,-0.2111,0.0424,0.0801,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,90,dev,ex_2017,4005,44.5,-0.1005,-0.2348,0.0377,0.1005,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
M107,Real 10y yield 30d change,regime,-1,cm,180,dev,full,4370,24.3,-0.04,-0.1921,0.1289,0.04,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,180,dev,ex_2020-03_2022-01,3488,19.4,-0.0051,-0.1695,0.166,0.0051,True,False,ok
M107,Real 10y yield 30d change,regime,-1,cm,180,dev,ex_2017,3825,21.2,-0.0776,-0.225,0.074,0.0776,True,False,ok
