fid,name,system,sign,price,horizon,window,slice,n,n_eff,ic,lo,hi,signed_ic,sign_ok,ci_excludes_0,status
M059,200W MA distance,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,180,dev,full,2970,16.5,-0.3468,-0.576,-0.1248,0.3468,True,True,ok
M059,200W MA distance,cycle,-1,cm,180,dev,ex_2020-03_2022-01,2088,11.6,-0.2819,-0.6363,0.0805,0.2819,True,False,ok
M059,200W MA distance,cycle,-1,cm,180,dev,ex_2017,2425,13.5,-0.6042,-0.7583,-0.3934,0.6042,True,True,ok
M059,200W MA distance,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,365,dev,full,2785,7.6,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,365,dev,ex_2020-03_2022-01,1749,4.8,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,365,dev,ex_2017,2055,5.6,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,1,dev,full,3819,3819.0,0.0578,0.0222,0.087,-0.0578,False,True,ok
M058,2Y MA multiplier,cycle,-1,cm,1,dev,ex_2020-03_2022-01,3116,3116.0,0.0697,0.0268,0.1064,-0.0697,False,True,ok
M058,2Y MA multiplier,cycle,-1,cm,1,dev,ex_2017,3453,3453.0,0.042,0.007,0.0759,-0.042,False,True,ok
M058,2Y MA multiplier,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.0631,-0.1419,0.0,0.0631,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,1,holdout,full,1329,1329.0,-0.0068,-0.0451,0.028,0.0068,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,7,dev,full,3813,544.7,0.0709,-0.0017,0.1423,-0.0709,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,7,dev,ex_2020-03_2022-01,3104,443.4,0.0823,-0.0158,0.1617,-0.0823,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,7,dev,ex_2017,3441,491.6,0.0313,-0.0499,0.1044,-0.0313,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,7,dev,since_2022,358,51.1,-0.1739,-0.3365,-0.0236,0.1739,True,True,ok
M058,2Y MA multiplier,cycle,-1,cm,7,holdout,full,1323,189.0,-0.0351,-0.1355,0.0579,0.0351,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,30,dev,full,3790,126.3,0.0593,-0.0684,0.2052,-0.0593,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,30,dev,ex_2020-03_2022-01,3058,101.9,0.0692,-0.0865,0.2096,-0.0692,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,30,dev,ex_2017,3395,113.2,-0.0069,-0.1448,0.1072,0.0069,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,30,holdout,full,1300,43.3,-0.1525,-0.3361,0.0351,0.1525,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,90,dev,full,3730,41.4,0.0697,-0.1483,0.2648,-0.0697,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,90,dev,ex_2020-03_2022-01,2938,32.6,0.1034,-0.1331,0.335,-0.1034,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,90,dev,ex_2017,3275,36.4,-0.0456,-0.2472,0.1574,0.0456,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,180,dev,full,3640,20.2,0.0538,-0.2274,0.2792,-0.0538,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,180,dev,ex_2020-03_2022-01,2758,15.3,0.1223,-0.2549,0.3898,-0.1223,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,180,dev,ex_2017,3095,17.2,-0.0665,-0.411,0.2072,0.0665,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,365,dev,full,3455,9.5,-0.1597,-0.5061,0.1577,0.1597,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,365,dev,ex_2020-03_2022-01,2419,6.6,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,365,dev,ex_2017,2725,7.5,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,1,dev,full,4184,4184.0,0.0488,0.0195,0.0785,-0.0488,False,True,ok
O072,Puell Multiple,cycle,-1,cm,1,dev,ex_2020-03_2022-01,3481,3481.0,0.0616,0.0299,0.095,-0.0616,False,True,ok
O072,Puell Multiple,cycle,-1,cm,1,dev,ex_2017,3818,3818.0,0.0357,0.0029,0.0678,-0.0357,False,True,ok
O072,Puell Multiple,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.074,-0.1529,0.0047,0.074,True,False,ok
O072,Puell Multiple,cycle,-1,cm,1,holdout,full,1329,1329.0,0.0192,-0.0308,0.0583,-0.0192,False,False,ok
O072,Puell Multiple,cycle,-1,cm,7,dev,full,4178,596.9,0.059,-0.0121,0.1288,-0.059,False,False,ok
O072,Puell Multiple,cycle,-1,cm,7,dev,ex_2020-03_2022-01,3469,495.6,0.0714,-0.0115,0.1477,-0.0714,False,False,ok
O072,Puell Multiple,cycle,-1,cm,7,dev,ex_2017,3806,543.7,0.0269,-0.0527,0.1014,-0.0269,False,False,ok
O072,Puell Multiple,cycle,-1,cm,7,dev,since_2022,358,51.1,-0.2313,-0.3749,-0.066,0.2313,True,True,ok
O072,Puell Multiple,cycle,-1,cm,7,holdout,full,1323,189.0,0.0231,-0.0688,0.1219,-0.0231,False,False,ok
O072,Puell Multiple,cycle,-1,cm,30,dev,full,4155,138.5,0.0404,-0.0681,0.1514,-0.0404,False,False,ok
O072,Puell Multiple,cycle,-1,cm,30,dev,ex_2020-03_2022-01,3423,114.1,0.0629,-0.0579,0.1853,-0.0629,False,False,ok
O072,Puell Multiple,cycle,-1,cm,30,dev,ex_2017,3760,125.3,-0.0131,-0.1246,0.1068,0.0131,True,False,ok
O072,Puell Multiple,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,30,holdout,full,1300,43.3,-0.034,-0.2236,0.1151,0.034,True,False,ok
O072,Puell Multiple,cycle,-1,cm,90,dev,full,4095,45.5,-0.0107,-0.2338,0.1827,0.0107,True,False,ok
O072,Puell Multiple,cycle,-1,cm,90,dev,ex_2020-03_2022-01,3303,36.7,0.0468,-0.1741,0.2632,-0.0468,False,False,ok
O072,Puell Multiple,cycle,-1,cm,90,dev,ex_2017,3640,40.4,-0.0935,-0.291,0.0996,0.0935,True,False,ok
O072,Puell Multiple,cycle,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,180,dev,full,4005,22.2,-0.0225,-0.2831,0.1656,0.0225,True,False,ok
O072,Puell Multiple,cycle,-1,cm,180,dev,ex_2020-03_2022-01,3123,17.4,0.0827,-0.1772,0.303,-0.0827,False,False,ok
O072,Puell Multiple,cycle,-1,cm,180,dev,ex_2017,3460,19.2,-0.0743,-0.3637,0.1608,0.0743,True,False,ok
O072,Puell Multiple,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,365,dev,full,3820,10.5,-0.2246,-0.474,0.0164,0.2246,True,False,ok
O072,Puell Multiple,cycle,-1,cm,365,dev,ex_2020-03_2022-01,2784,7.6,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,365,dev,ex_2017,3090,8.5,-0.2384,-0.5615,0.0193,0.2384,True,False,ok
O072,Puell Multiple,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,1,dev,full,4548,4548.0,-0.0031,-0.032,0.025,0.0031,True,False,ok
O013,Mcap / thermocap,cycle,-1,cm,1,dev,ex_2020-03_2022-01,3845,3845.0,-0.0009,-0.0378,0.0348,0.0009,True,False,ok
O013,Mcap / thermocap,cycle,-1,cm,1,dev,ex_2017,4182,4182.0,-0.0137,-0.0434,0.0157,0.0137,True,False,ok
O013,Mcap / thermocap,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.0664,-0.1407,-0.0024,0.0664,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,1,holdout,full,1329,1329.0,-0.0322,-0.0732,0.0005,0.0322,True,False,ok
O013,Mcap / thermocap,cycle,-1,cm,7,dev,full,4542,648.9,-0.0503,-0.1297,0.0124,0.0503,True,False,ok
O013,Mcap / thermocap,cycle,-1,cm,7,dev,ex_2020-03_2022-01,3833,547.6,-0.0523,-0.1257,0.0196,0.0523,True,False,ok
