,score,O102,O103,O080,M115,M106,M107,M109,M110,M105,M015,N003,O046,O049,O113,O115,M096,M088,O066,N004
1961-04-29,,,,,,,,,,0.9361233480176211,,,,,,,,,,
1961-04-30,,,,,,,,,,0.9340659340659341,,,,,,,,,,
1961-05-01,,,,,,,,,,1.0,,,,,,,,,,
1961-05-02,,,,,,,,,,0.9978118161925602,,,,,,,,,,
1961-05-03,,,,,,,,,,0.9956331877729258,,,,,,,,,,
1961-05-04,,,,,,,,,,0.9934640522875817,,,,,,,,,,
1961-05-05,,,,,,,,,,0.991304347826087,,,,,,,,,,
1961-05-06,,,,,,,,,,0.9891540130151844,,,,,,,,,,
1961-05-07,,,,,,,,,,0.987012987012987,,,,,,,,,,
1961-05-08,,,,,,,,,,0.9848812095032398,,,,,,,,,,
1961-05-09,,,,,,,,,,0.9827586206896551,,,,,,,,,,
1961-05-10,,,,,,,,,,0.9806451612903225,,,,,,,,,,
1961-05-11,,,,,,,,,,0.9785407725321889,,,,,,,,,,
1961-05-12,,,,,,,,,,0.9764453961456103,,,,,,,,,,
1961-05-13,,,,,,,,,,0.9743589743589743,,,,,,,,,,
1961-05-14,,,,,,,,,,0.9722814498933902,,,,,,,,,,
1961-05-15,,,,,,,,,,0.9702127659574468,,,,,,,,,,
1961-05-16,,,,,,,,,,0.9681528662420382,,,,,,,,,,
1961-05-17,,,,,,,,,,0.9661016949152542,,,,,,,,,,
1961-05-18,,,,,,,,,,0.9640591966173362,,,,,,,,,,
1961-05-19,,,,,,,,,,0.9620253164556962,,,,,,,,,,
1961-05-20,,,,,,,,,,0.96,,,,,,,,,,
1961-05-21,,,,,,,,,,0.957983193277311,,,,,,,,,,
1961-05-22,,,,,,,,,,0.9559748427672956,,,,,,,,,,
1961-05-23,,,,,,,,,,0.9539748953974896,,,,,,,,,,
1961-05-24,,,,,,,,,,0.9519832985386222,,,,,,,,,,
1961-05-25,,,,,,,,,,0.95,,,,,,,,,,
1961-05-26,,,,,,,,,,0.9480249480249481,,,,,,,,,,
1961-05-27,,,,,,,,,,0.946058091286307,,,,,,,,,,
1961-05-28,,,,,,,,,,0.9440993788819876,,,,,,,,,,
1961-05-29,,,,,,,,,,0.9421487603305785,,,,,,,,,,
1961-05-30,,,,,,,,,,0.9402061855670103,,,,,,,,,,
1961-05-31,,,,,,,,,,1.0,,,,,,,,,,
1961-06-01,,,,,,,,,,0.997946611909651,,,,,,,,,,
1961-06-02,,,,,,,,,,0.9959016393442623,,,,,,,,,,
1961-06-03,,,,,,,,,,0.9938650306748467,,,,,,,,,,
1961-06-04,,,,,,,,,,0.9918367346938776,,,,,,,,,,
1961-06-05,,,,,,,,,,0.9898167006109979,,,,,,,,,,
1961-06-06,,,,,,,,,,0.9878048780487805,,,,,,,,,,
1961-06-07,,,,,,,,,,0.9858012170385395,,,,,,,,,,
1961-06-08,,,,,,,,,,0.9838056680161943,,,,,,,,,,
1961-06-09,,,,,,,,,,0.9818181818181818,,,,,,,,,,
