,score,M096t,N005,M018,M068,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112
2016-07-20,,,,,,,,,,,,,,,0.39285714285714285,,
2016-07-21,,,,,,,,,,,,,,,0.3863013698630137,,
2016-07-22,,,,,,,,,,,,,,,0.7131147540983607,,
2016-07-23,,,,,,,,,,,,,,,0.8147138964577657,,
2016-07-24,,,,,,,,,,,,,,,0.6005434782608695,,
2016-07-25,,,,,,,,,,,,,,,0.44715447154471544,,
2016-07-26,,,,,,,,,,,,,,,0.5081081081081081,,
2016-07-27,,,,,,,,,,,,,,,0.8005390835579514,,
2016-07-28,,,,,,,,,,,,,,,0.8440860215053764,,
2016-07-29,,,,,,,,,,,,,,,0.8310991957104558,,
2016-07-30,,,,,,,,,,,,,,,0.7085561497326203,,
2016-07-31,,,,,,,,,,,,,,,0.6373333333333333,,
2016-08-01,,,,,,,,,,,,,,,0.35904255319148937,,
2016-08-02,,,,,,,,,,,,,,,0.11405835543766578,,
2016-08-03,,,,,,,,,,,,,,,0.6666666666666666,,
2016-08-04,,,,,,,,,,,,,,,0.9894459102902374,,
2016-08-05,,,,,,,,,,,,,,,1.0,,
2016-08-06,,,,,,,,,,,,,,,0.9921259842519685,,
2016-08-07,,,,,,,,,,,,,,,0.9554973821989529,,
2016-08-08,,,,,,,,,,,,,,,0.48825065274151436,,
2016-08-09,,,,,,,,,,,,,,,0.6171875,,
2016-08-10,,,,,,,,,,,,,,,0.7662337662337663,,
2016-08-11,,,,,,,,,,,,,,,0.8678756476683938,,
2016-08-12,,,,,,,,,,,,,,,0.8113695090439277,,
2016-08-13,,,,,,,,,,,,,,,0.7345360824742269,,
2016-08-14,,,,,,,,,,,,,,,0.8791773778920309,,
2016-08-15,,,,,,,,,,,,,,,0.8948717948717949,,
2016-08-16,,,,,,,,,,,,,,,0.9232736572890026,,
2016-08-17,,,,,,,,,,,,,,,0.8316326530612245,,
2016-08-18,,,,,,,,,,,,,,,0.8422391857506362,,
2016-08-19,,,,,,,,,,,,,,,0.6878172588832487,,
2016-08-20,,,,,,,,,,,,,,,0.7265822784810126,,
2016-08-21,,,,,,,,,,,,,,,0.7853535353535354,,
2016-08-22,,,,,,,,,,,,,,,0.8387909319899244,,
2016-08-23,,,,,,,,,,,,,,,0.7738693467336684,,
2016-08-24,,,,,,,,,,,,,,,0.556390977443609,,
