year,train_end,candidates_valid,confirmed,dedupe_dropped,components,pruned,test_n_confirmed,test_ic_confirmed,test_n_pruned,test_ic_pruned
2019,2018-12-31,11,"['M096t', 'T110']",[],"['M096t', 'T110']","['M096t', 'T110']",365,-0.1406,365,-0.1406
2020,2019-12-31,12,"['T102', 'T113', 'T110']",[],"['T102', 'T113', 'T110']","['T102', 'T113', 'T110']",366,0.0032,366,0.0032
2021,2020-12-31,15,"['M068', 'T101', 'T102', 'T113']",[],"['M068', 'T101', 'T102', 'T113']","['M068', 'T101', 'T102', 'T113']",365,0.0716,365,0.0716
2022,2021-12-31,22,"['M068', 'T101', 'T102', 'T106', 'T111']",['T102'],"['M068', 'T101', 'T106', 'T111']","['T106', 'T111']",365,0.0391,365,0.0457
2023,2022-12-31,22,"['T102', 'T108', 'T110']",[],"['T102', 'T108', 'T110']","['T102', 'T108', 'T110']",365,0.1877,365,0.1877
2024,2023-12-31,22,"['T104', 'T106', 'T110']",[],"['T104', 'T106', 'T110']","['T104', 'T106']",366,0.0532,366,0.0307
2025,2024-12-31,22,"['T104', 'T106', 'T110']",[],"['T104', 'T106', 'T110']","['T104', 'T106']",365,0.0392,365,0.0792
2026,2025-12-31,22,"['T104', 'T106', 'T110', 'T111']",[],"['T104', 'T106', 'T110', 'T111']","['T104', 'T106']",257,-0.0192,257,-0.0112
