date,sum_tickers,total_column,within_tolerance
2024-08-30,-175.6,-175.6,True
2024-09-02,0.0,0.0,True
2024-09-03,-287.8,-287.8,True
2024-09-04,-37.2,-37.2,True
2024-09-05,-211.1,-211.1,True
2024-09-06,-170.0,-170.0,True
2024-09-09,28.6,28.6,True
2024-09-10,117.0,117.0,True
2024-09-11,-43.9,-43.9,True
2024-09-12,39.0,39.0,True
2024-09-13,263.2,263.2,True
2024-09-16,12.8,12.8,True
2024-09-17,186.8,186.8,True
2024-09-18,-52.699999999999996,-52.7,True
2024-09-19,158.29999999999998,158.3,True
2024-09-20,92.0,92.0,True
2024-09-23,4.500000000000002,4.5,True
2024-09-24,136.0,136.0,True
2024-09-25,105.9,105.9,True
2024-09-26,365.7,365.7,True
2024-09-27,494.4,494.4,True
2024-09-30,61.300000000000004,61.3,True
2024-10-01,-242.6,-242.6,True
2024-10-02,-91.69999999999999,-91.7,True
2024-10-03,-54.2,-54.2,True
2024-10-04,25.6,25.6,True
2024-10-07,235.20000000000002,235.2,True
2024-10-08,-18.599999999999994,-18.6,True
2024-10-09,-40.6,-40.6,True
2024-10-10,-120.8,-120.8,True
2024-10-11,253.6,253.6,True
2024-10-14,555.9,555.9,True
2024-10-15,371.0,371.0,True
2024-10-16,458.5,458.5,True
2024-10-17,470.5,470.5,True
2024-10-18,273.7,273.7,True
2024-10-21,294.3,294.3,True
2024-10-22,-79.1,-79.1,True
2024-10-23,192.4,192.4,True
2024-10-24,188.0,188.0,True
2024-10-25,402.0,402.0,True
2024-10-28,479.4,479.4,True
2024-10-29,870.1,870.1,True
2024-10-30,893.3,893.3,True
2024-10-31,32.300000000000004,32.3,True
2024-11-01,-54.900000000000006,-54.9,True
2024-11-04,-541.1,-541.1,True
2024-11-05,-116.80000000000001,-116.8,True
2024-11-06,621.9,621.9,True
2024-11-07,1373.8000000000002,1373.8,True
2024-11-08,293.4,293.4,True
2024-11-11,1114.1,1114.1,True
2024-11-12,817.5,817.5,True
2024-11-13,510.1,510.1,True
2024-11-14,-400.7,-400.7,True
2024-11-15,-370.0,-370.0,True
2024-11-18,254.79999999999998,254.8,True
2024-11-19,829.5,829.5,True
2024-11-20,773.4,773.4,True
2024-11-21,1005.1,1005.1,True
2024-11-22,490.30000000000007,490.3,True
2024-11-25,-435.29999999999995,-435.3,True
2024-11-26,-122.80000000000001,-122.8,True
2024-11-27,103.0,103.0,True
2024-11-28,0.0,0.0,True
2024-11-29,320.0,320.0,True
2024-12-02,353.6,353.6,True
2024-12-03,676.0,676.0,True
2024-12-04,556.8000000000001,556.8,True
2024-12-05,766.7,766.7,True
2024-12-06,376.6,376.6,True
2024-12-09,479.1,479.1,True
2024-12-10,438.5,438.5,True
2024-12-11,223.10000000000002,223.1,True
2024-12-12,597.5,597.5,True
2024-12-13,428.9,428.9,True
2024-12-16,636.9,636.9,True
2024-12-17,493.9,493.9,True
2024-12-18,275.3,275.3,True
2024-12-19,-671.9,-671.9,True
2024-12-20,-277.0,-277.0,True
2024-12-23,-226.5,-226.5,True
2024-12-24,-338.4,-338.4,True
2024-12-25,0.0,0.0,True
2024-12-26,475.2,475.2,True
2024-12-27,-287.9,-287.9,True
2024-12-30,-415.09999999999997,-415.1,True
2024-12-31,5.299999999999997,5.3,True
2025-01-01,0.0,0.0,True
2025-01-02,-242.3,-242.3,True
2025-01-03,908.1,908.1,True
2025-01-06,978.6,978.6,True
2025-01-07,52.40000000000003,52.4,True
2025-01-08,-568.8,-568.8,True
2025-01-09,0.0,0.0,True
2025-01-10,-149.4,-149.4,True
2025-01-13,-284.1,-284.1,True
2025-01-14,-209.8,-209.8,True
2025-01-15,755.1,755.1,True
2025-01-16,626.1,626.1,True
2025-01-17,1072.8,1072.8,True
2025-01-20,0.0,0.0,True
2025-01-21,802.6,802.6,True
2025-01-22,248.70000000000002,248.7,True
2025-01-23,188.7,188.7,True
2025-01-24,517.6999999999999,517.7,True
2025-01-27,-457.6,-457.6,True
2025-01-28,18.400000000000002,18.4,True
2025-01-29,92.0,92.0,True
2025-01-30,588.1,588.1,True
2025-01-31,318.6,318.6,True
2025-02-03,-234.4,-234.4,True
2025-02-04,340.7,340.7,True
2025-02-05,66.4,66.4,True
2025-02-06,-140.20000000000002,-140.2,True
2025-02-07,171.3,171.3,True
2025-02-10,-186.29999999999998,-186.3,True
2025-02-11,-56.7,-56.7,True
2025-02-12,-251.0,-251.0,True
2025-02-13,-157.8,-157.8,True
2025-02-14,66.2,66.2,True
2025-02-17,0.0,0.0,True
2025-02-18,-60.699999999999996,-60.7,True
2025-02-19,-71.2,-71.2,True
2025-02-20,-364.8,-364.8,True
2025-02-21,-62.9,-62.9,True
2025-02-24,-565.9,-565.9,True
2025-02-25,-1113.7,-1113.7,True
2025-02-26,-757.8,-757.8,True
2025-02-27,-275.9,-275.9,True
2025-02-28,94.3,94.3,True
2025-03-03,-74.19999999999999,-74.2,True
2025-03-04,-143.5,-143.5,True
2025-03-05,-38.3,-38.3,True
2025-03-06,-134.3,-134.3,True
2025-03-07,-409.3,-409.3,True
2025-03-10,-372.5,-372.5,True
2025-03-11,-396.3,-396.3,True
2025-03-12,13.299999999999992,13.3,True
2025-03-13,-143.4,-143.4,True
2025-03-14,41.3,41.3,True
2025-03-17,274.59999999999997,274.6,True
2025-03-18,209.1,209.1,True
2025-03-19,11.8,11.8,True
2025-03-20,165.7,165.7,True
2025-03-21,83.1,83.1,True
2025-03-24,79.7,79.7,True
2025-03-25,26.8,26.8,True
2025-03-26,89.60000000000001,89.6,True
2025-03-27,81.69999999999999,81.7,True
2025-03-28,-94.9,-94.9,True
2025-03-31,-71.2,-71.2,True
2025-04-01,-157.8,-157.8,True
2025-04-02,220.79999999999998,220.8,True
2025-04-03,-99.80000000000001,-99.8,True
2025-04-04,-64.9,-64.9,True
2025-04-07,-109.2,-109.2,True
2025-04-08,-328.0,-328.0,True
2025-04-09,-127.2,-127.2,True
2025-04-10,-149.5,-149.5,True
2025-04-11,-1.0,-1.0,True
2025-04-14,1.5,1.5,True
2025-04-15,76.4,76.4,True
