date,sum_tickers,total_column,within_tolerance
2026-09-03,141.39999999999998,141.4,True
2026-09-04,26.4,26.4,True
2026-09-08,-24.3,-24.3,True
2026-09-09,34.699999999999996,34.7,True
2026-09-10,-29.9,-29.9,True
2026-09-11,216.4,216.4,True
2026-09-14,121.1,121.1,True
2026-09-15,-142.0,-142.0,True
2026-09-16,-224.1,-224.1,True
2026-09-17,-39.3,-39.3,True
2026-09-18,143.7,143.7,True
2026-09-21,147.1,147.1,True
